ufn,sample_id,tissue_type,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5,analyzing_lab,quality_level,sample_comments,quality_log
U55,S55DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U56,S56DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U57,S57DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U58,S58DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U59,S59DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U60,S60DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U61,S61DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U62,S62DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U63,S63DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U65,S65DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U66,S66DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U68,S68DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U69,SDN77,liver,Kuzkwa_Cr,3,0.48,STELLAKO,3,0.27,PINCHI_CR,3,0.22,TACHIE,3,0.03,NADINA,2,0,PBS,Technicianmr,,
U70,S70DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U71,S71DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U72,S72DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U73,S73DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U74,S74DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U75,S75DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U76,SDN79,liver,Chilko,3,0.5,L_ADAMS,4,0.25,U_HORSEFLY,3,0.13,MIDDLE,3,0.07,HORSEFLY,3,0.02,PBS,Technicianmr,,
U77,S77DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U78,S78DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U79,S79DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U80,S80DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U81,SDN84,liver,Kuzkwa_Cr,3,0.51,PINCHI_CR,3,0.18,STELLAKO,3,0.12,PORTAGE_CR,4,0.05,TACHIE,3,0.03,PBS,Technicianmr,,
U82,S82DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U83,S83DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U84,S84DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U85,SDN90,liver,Kuzkwa_Cr,3,0.64,PINCHI_CR,3,0.2,STELLAKO,3,0.09,TACHIE,3,0.04,PORTER_CR,1,0.03,PBS,Technicianmr,,
U86,S86DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U87,S87DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U88,S88DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U89,S89DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U90,S90DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U91,S91DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U92,S92DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U96,S96DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U97,SDN95,liver,Chilko,3,0.93,CHILKO_SOUTH,2,0.06,THOMPSON_N,2,0,CHILKO-NORTH,3,0,MITCHELL,3,0,PBS,Technicianmr,,
U98,SDN96,liver,Chilko,3,0.87,THOMPSON_N,2,0.13,CHILKO_SOUTH,2,0,CHILKO-NORTH,3,0,RAFT,2,0,PBS,Technicianmr,,
U99,SDN123,liver,Chilko,3,0.99,U_HORSEFLY,3,0,NARROWS,1,0,SINTA,1,0,BLACKWATER,1,0,PBS,Technicianmr,,
U100,SDN120,liver,Mitchell,3,0.88,QUESNEL_MITCHE,3,0.05,QUESNEL_HORSEF,3,0.04,QUESNEL_DECEPT,3,0.02,BLUE_LEAD_CK,3,0.01,PBS,Technicianmr,,
U101,S101DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U102,S102DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U103,S103DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U104,S104DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U105,S105DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U106,S106DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U107,S107DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U108,S108DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U109,S109DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U110,S110DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U111,S111DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U112,S112DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U113,S113DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U114,S114DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U115,S115DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U116,S116DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U117,S117DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U118,S118DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U119,S119DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U120,S120DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U121,S121DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U122,S122DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U123,S123DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U124,S124DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U125,S125DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U126,S126DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U127,SDN204,liver,Chilko,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U128,SDN221,liver,Weaver,4,0.7,THOMPSON_N,2,0.29,CHILKO,3,0.01,EAGLE_L,4,0,CHILKO-NORTH,3,0,PBS,Technicianmr,,
U129,SDN247,liver,L_Adams,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U130,SDN275,liver,Chilko,3,0.91,CHILKO-NORTH,3,0.05,L_ADAMS,4,0.04,BOWRON,2,0,RAFT,2,0,PBS,Technicianmr,,
U131,S131DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U132,S132DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U133,SDN146,liver,Birkenhead,3,0.49,WEAVER,4,0.29,LAKEWASHINGTON,5,0.14,CHILKO,3,0.03,L_ADAMS,4,0.01,PBS,Technicianmr,,
U134,SDN147,liver,Porter_Cr,1,0.84,FORFAR,1,0.06,NARROWS,1,0.04,BIVOUAC,1,0.03,FIVEMILE,1,0.01,PBS,Technicianmr,,
U135,SDN148,liver,Kuzkwa_Cr,3,0.72,PINCHI_CR,3,0.12,CHILKO,3,0.06,TACHIE,3,0.04,WEAVER,4,0.03,PBS,Technicianmr,,
U136,SDN149,liver,Chilko,3,0.68,CHILKO_SOUTH,2,0.32,EAGLE_L,4,0,CHILKO-NORTH,3,0,PORTAGE_CR,4,0,PBS,Technicianmr,,
U137,S137DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U138,S138DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U139,S139DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U140,S140DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U141,S141DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U142,S142DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U143,S143DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U144,S144DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U145,S145DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U146,S146DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U147,S147DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U148,S148DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U149,S149DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U150,S150DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U151,S151DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U152,S152DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U153,S153DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U154,S154DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U155,S155DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U156,SDN143,liver,Chilko,3,0.48,CHILKO_SOUTH,2,0.18,THOMPSON_N,2,0.13,LITTLE,4,0.1,L_SHUSWAP,4,0.04,PBS,Technicianmr,,
U157,S157DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U158,SDN145,liver,Kuzkwa_Cr,3,0.58,PINCHI_CR,3,0.22,STELLAKO,3,0.09,TACHIE,3,0.04,MITCHELL,3,0.02,PBS,Technicianmr,,
U159,SDN152,liver,Porter_Cr,1,0.31,KUZKWA_CR,3,0.29,PINCHI_CR,3,0.2,NARROWS,1,0.05,FORFAR,1,0.03,PBS,Technicianmr,,
U160,SDN153,liver,Birkenhead,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U161,SDN154,liver,Porter_Cr,1,0.81,FORFAR,1,0.07,NARROWS,1,0.06,BIVOUAC,1,0.03,HUDSON_BAY,1,0.01,PBS,Technicianmr,,
U162,SDN155,liver,Chilko,3,0.96,CHILKO_SOUTH,2,0.04,LITTLE,4,0,MCKINLEY,3,0,KUZKWA_CR,3,0,PBS,Technicianmr,,
U163,S163DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U164,S164DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U165,S165DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U166,S166DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U167,S167DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U168,S168DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U169,S169DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U170,S170DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U171,SDN156,liver,Porter_Cr,1,0.6,PORTAGE_CR,4,0.13,LITTLE,4,0.09,EAGLE_L,4,0.04,NARROWS,1,0.02,PBS,Technicianmr,,
U172,S172DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U174,S174DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U175,S175DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U176,S176DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U177,S177DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U178,S178DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U179,S179DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U180,S180DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U181,S181DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U182,S182DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U183,S183DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U184,S184DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U185,S185DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U186,S186DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U187,S187DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U188,S188DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U189,S189DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U190,S190DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U191,S191DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U192,S192DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U193,S193DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U194,S194DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U195,S195DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U196,S196DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U197,S197DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U198,S198DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U199,S199DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U200,SDN205,liver,Chilko,3,0.93,QUESNEL_HORSEF,3,0.04,MCKINLEY,3,0.02,U_HORSEFLY,3,0.01,MIDDLE,3,0,PBS,Technicianmr,,
U201,S201DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U202,S202DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U203,S203DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U204,S204DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U205,S205DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U206,S206DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U207,SDN206,liver,Chilko,3,0.99,BLUE_LEAD_CK,3,0.01,QUESNEL_DECEPT,3,0,DUST,1,0,SINTA,1,0,PBS,Technicianmr,,
