ufn,semsp_id,seine_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,lice_id_protocol_field,analysis_planned,dissection_status,date_processed,cwt,adipose,weight,standard_length,fork_length,photo_number,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,lice_collection_protocol,lice_id_protocol_lab,analyzing_lab,quality_level,quality_log
U5168,2016-06-08-D11-CU-10,DE303N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-28,None,Present,8.1,89,93,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5170,2016-06-08-D11-CU-7,DE303N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-28,None,Present,9.7,91,96,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5153,2016-06-11-J06-CU-2,JE269N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-27,None,Present,26.9,133,139,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5154,2016-06-11-J06-CU-10,JE269N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-27,None,Present,15.9,116,121,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5155,2016-06-11-J06-CU-9,JE269N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-27,None,Present,16.7,116,121,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5156,2016-06-11-J06-CU-5,JE269N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-28,None,Present,15.9,115,120,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5158,2016-06-11-J06-CU-3,JE269N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-28,None,Present,18.6,116,121,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5179,2016-06-11-J07-CU-10,JE270N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-01,None,Present,27.1,131,137,NA,Did not take DNA sample,flabellifera in bag,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5180,2016-06-11-J07-CU-6,JE270N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-01,None,Present,15.7,114,119,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5181,2016-06-11-J07-CU-7,JE270N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-01,None,Present,15,111,116,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5183,2016-06-11-J07-CU-3,JE270N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-01,None,Present,17.7,117,122,NA,Did not take DNA sample,flabellifera in bag,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5184,2016-06-11-J07-CU-4,JE270N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-01,None,Present,17.4,116,121,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5173,2016-07-05-J07-CU-8,JE302N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-01,None,Present,25.5,131,136,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5174,2016-07-05-J07-CU-7,JE302N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-01,None,Present,24.6,130,135,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5175,2016-07-05-J07-CU-5,JE302N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-01,None,Present,24.1,131,137,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5176,2016-07-05-J07-CU-4,JE302N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-01,None,Present,33.3,143,148,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5177,2016-07-05-J07-CU-9,JE302N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-01,None,Present,26.8,134,140,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5178,2016-07-05-J07-CU-10,JE302N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-01,None,Present,26.8,133,138,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5195,2016-07-05-J07-CU-6,JE302N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-01,None,Present,25.4,132,138,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5197,2016-06-03-J07-CU-4,JE258N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-01,None,Present,16.6,116,122,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5198,2016-06-03-J07-CU-5,JE258N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-01,None,Present,12.2,104,110,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5201,2016-06-03-J07-CU-3,JE258N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-02,None,Present,9.8,92,98,NA,Did not take DNA sample,bleeding under gills,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5202,2016-06-03-J07-CU-1,JE258N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-02,None,Present,10.8,99,103,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5203,2016-06-03-J07-CU-2,JE258N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-02,None,Present,17.2,117,122,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5204,2016-06-03-J07-CU-8,JE258N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-02,None,Present,11,99,104,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5208,2015-06-09-D07-CU-1,DE173N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-02,None,Present,19.9,123,127,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5209,2015-06-09-D07-CU-10,DE173N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-02,None,Present,10.6,95,100,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5210,2015-06-09-D07-CU-7,DE173N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-02,None,Present,13.5,99,104,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5211,2016-06-10-J08-CU-6,JE268N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-02,None,Present,14.8,108,114,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5186,2016-06-11-J07-CU-2,JE270N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,14.1,110,115,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5188,2016-06-11-J07-CU-1,JE270N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,14.9,108,113,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5189,2016-06-20-J07-CU-8,JE283N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,11.6,103,107,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5190,2016-06-20-J07-CU-9,JE283N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,13.8,109,114,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5191,2016-06-20-J07-CU-3,JE283N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,13.6,109,114,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5192,2016-06-20-J07-CU-10,JE283N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,11.6,105,110,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5193,2016-06-20-J07-CU-4,JE283N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,16.7,115,120,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5232,2016-06-20-J07-CU-5,JE283N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,16.4,116,121,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5233,2016-06-20-J07-CU-2,JE283N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,12.5,108,113,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5234,2016-06-20-J07-CU-1,JE283N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,15.7,113,118,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5236,2016-06-20-J07-CU-6,JE283N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,13.9,108,113,NA,Did not take DNA sample,NA,JG,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5212,2016-06-10-J08-CU-8,JE268N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,17,115,120,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5213,2016-06-10-J08-CU-3,JE268N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,14.3,108,113,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5214,2016-06-10-J08-CU-7,JE268N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,15.5,112,116,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5215,2016-06-10-J08-CU-9,JE268N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,17.8,116,122,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5216,2016-06-10-J08-CU-5,JE268N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,13.4,106,111,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5217,2016-06-10-J08-CU-4,JE268N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,13,102,107,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5218,2016-06-10-J08-CU-1,JE268N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,13.2,105,110,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5219,2016-06-10-J08-CU-2,JE268N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,14.4,108,113,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5220,2016-06-10-J08-CU-10,JE268N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,16,112,118,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5221,2016-06-09-D07-CU-3,DE308N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,16.5,112,117,NA,Did not take DNA sample,4 crustaceans in bag,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5225,2016-06-25-J07-CU-6,JE292N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,23.5,128,133,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5226,2016-06-25-J07-CU-7,JE292N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,20.1,121,126,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5227,2016-06-25-J07-CU-2,JE292N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,19.6,121,126,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5228,2016-06-25-J07-CU-1,JE292N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-03,None,Present,23.1,130,135,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5229,2016-06-25-J07-CU-8,JE292N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,18.1,117,122,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5230,2016-06-25-J07-CU-9,JE292N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,21.8,124,127,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5231,2016-06-25-J07-CU-3,JE292N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,21.4,127,130,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5245,2016-06-25-J07-CU-10,JE292N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,24.5,129,135,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5246,2016-06-25-J07-CU-4,JE292N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,18.1,117,123,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5247,2016-06-25-J07-CU-5,JE292N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,17.4,117,122,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5249,2016-05-26-D07-CU-5,DE287N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,7.5,84,88,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5251,2016-05-26-D07-CU-4,DE287N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,6.6,81,86,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5252,2016-05-26-D07-CU-10,DE287N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,4.5,68,73,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5253,2016-05-26-D07-CU-3,DE287N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,6.4,84,89,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5254,2016-05-26-D07-CU-8,DE287N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,7.8,90,94,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5255,2016-05-26-D07-CU-6,DE287N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,4.3,72,77,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5256,2016-05-26-D07-CU-1,DE287N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,7.1,87,92,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5262,2016-06-10-J04-CU-1,JE267N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,15.5,116,123,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5263,2016-06-10-J04-CU-9,JE267N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,14.2,113,118,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5264,2016-06-10-J04-CU-8,JE267N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,15.3,117,123,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5265,2016-06-10-J04-CU-7,JE267N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,14.8,110,115,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5266,2016-06-10-J04-CU-10,JE267N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,11.2,102,107,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5267,2016-06-10-J04-CU-2,JE267N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,14.2,109,114,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5268,2016-06-10-J04-CU-3,JE267N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,12.3,105,110,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5269,2016-06-10-J04-CU-5,JE267N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,14.5,106,112,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5271,2016-06-10-J04-CU-4,JE267N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,14.5,110,115,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5272,2016-05-19-D07-CU-10,DE276N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,3.6,69,72,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5237,2016-05-19-D07-CU-2,DE276N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,4,69,73,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5238,2016-05-19-D07-CU-9,DE276N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-09,None,Present,3,61,65,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5241,2016-05-19-D07-CU-6,DE276N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-10,None,Present,3.8,75,79,NA,Did not take DNA sample,lots of scales missing on left side,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5244,2016-05-19-D07-CU-3,DE276N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-10,None,Present,2.5,63,66,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5287,2016-06-11-J07-PI-7,JE270N1,PI,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-10,None,Present,13.8,111,114,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5289,2016-06-11-J07-PI-6,JE270N1,PI,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-10,None,Present,15.2,114,120,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5290,2016-06-11-J07-PI-1,JE270N1,PI,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-10,None,Present,11.1,104,108,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5292,2016-06-11-J07-PI-2,JE270N1,PI,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-10,None,Present,10.6,106,110,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5293,2016-06-11-J07-PI-4,JE270N1,PI,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-10,None,Present,11,103,106,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5294,2016-06-11-J07-PI-10,JE270N1,PI,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-10,None,Present,13.7,109,114,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5295,2016-06-11-J07-PI-3,JE270N1,PI,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-10,None,Present,12.4,101,110,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5296,2016-06-11-J07-PI-9,JE270N1,PI,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-10,None,Present,12.8,106,111,NA,Did not take DNA sample,NA,KB,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5260,2016-06-09-D07-PI-10,DE308N1,PI,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-10,None,Present,9.1,95,100,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5275,2016-06-09-D07-PI-8,DE308N1,PI,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-10,None,Present,6.9,88,92,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5277,2016-06-11-J06-PI-2,JE269N1,PI,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-10,None,Present,10.6,105,110,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5278,2016-06-11-J06-PI-9,JE269N1,PI,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-10,None,Present,17,117,121,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5279,2016-06-11-J06-PI-7,JE269N1,PI,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-10,None,Present,13.6,112,117,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5280,2016-06-11-J06-PI-10,JE269N1,PI,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-10-10,None,Present,13,105,109,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
