ufn,date_processed,cwt,adipose,weight,standard_length,fork_length,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,lice_collection_protocol,lice_id_protocol_lab,quality_level,quality_flag,quality_log
U81,2015-09-23,None,Present,13.6,NA,111,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U91,2015-09-23,None,Present,13.4,NA,110,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U92,2015-09-23,None,Present,11.5,NA,102,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U82,2015-09-24,None,Present,12.7,NA,102,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U83,2015-09-24,None,Present,12.7,NA,106,"From JS thawed fish, experimental data set. 1 chal. a destroyed but retained",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U84,2015-09-24,None,Present,10.7,NA,100,"From JS thawed fish, experimental data set. 1 cal. cap. disintigrated",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U85,2015-09-24,None,Present,16.9,NA,119,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U93,2015-09-24,None,Present,11.6,NA,100,"From JS thawed fish, experimental data set. Tissues too liquid to take DNA",Tissues too liquid to take DNA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U94,2015-09-24,None,Present,10.6,NA,100,"From JS thawed fish, experimental data set. Organs too mushy to take DNA",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U95,2015-09-24,None,Present,11.6,NA,100,"From JS thawed fish, experimental data set. No DNA or isotopes, tissues liquid","Hemorraged anal fin, 1 otolith",KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U96,2015-09-24,None,Present,12.5,NA,99,"From JS thawed fish, experimental data set",1 otolith,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U97,2015-09-24,None,Present,12.2,NA,102,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U98,2015-09-24,None,Present,7.7,NA,93,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U111,2015-09-25,None,Present,10.9,NA,106,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U112,2015-09-25,None,Present,10.4,NA,102,"From JS thawed fish, experimental data set. 1 mangled cal chal b retained",1 mangled cal chal b retained,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U86,2015-09-25,None,Present,10.1,NA,104,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U87,2015-09-25,None,Present,15.1,NA,115,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U88,2015-09-25,None,Present,13.6,NA,112,"From JS thawed fish, experimental data set. Half of a calanus motile retained",Half of a calanus motile retained,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U89,2015-09-25,None,Present,14.1,NA,109,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U90,2015-09-25,None,Present,11.9,NA,109,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U104,2015-09-28,None,Present,10.2,NA,108,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U105,2015-09-28,None,Present,13.4,NA,113,"From JS thawed fish, experimental data set. Scale may have overlapped (BSC3-32)",1 otolith,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U106,2015-09-28,None,Present,11.2,NA,103,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U107,2015-09-28,None,Present,13.5,NA,119,"From JS thawed fish, experimental data set. Unknown sp. found (maybe small crab larvae?) put in vial labelled ""u107""",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U108,2015-09-28,None,Present,12.9,NA,106,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U113,2015-09-28,None,Present,12.4,NA,109,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U114,2015-09-28,None,Present,12.9,NA,108,"From JS thawed fish, experimental data set. 1 chal a cal not retained",1 chal a cal not retained,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U115,2015-09-28,None,Present,12.3,NA,107,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U116,2015-09-28,None,Present,13.8,NA,115,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U121,2015-09-28,None,Present,11.1,NA,109,"From JS thawed fish, experimental data set. Scale may have overlapped (BSC3-32)",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U122,2015-09-28,None,Present,9.1,NA,97,"From JS thawed fish, experimental data set",Only 1 otolith found,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U123,2015-09-28,None,Present,14,NA,115,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U109,2015-09-29,None,Present,10.8,NA,104,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U117,2015-09-29,None,Present,10.4,NA,103,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U118,2015-09-29,None,Present,12.9,NA,102,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U124,2015-09-29,None,Present,10.6,NA,103,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U110,2015-10-05,None,Present,10.8,NA,103,"From thawed JS fish. Dropped louse vial, but nothing appeared to have come out.",NA,CK,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U119,2015-10-05,None,Present,15,NA,113,From JS thawed fish,1 unidentified organism,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U100,2015-10-05,None,Present,15.9,NA,115,From thawed JS fish,NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U99,2015-10-05,None,Present,7.3,NA,88,RNA taken,NA,KI,irregular,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U120,2015-10-06,None,Present,16.9,NA,122,From JS thawed fish,NA,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U151,2015-10-06,None,Present,14.8,NA,116,From JS thawed fish,NA,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U152,2015-10-06,None,Present,21,NA,127,From JS thawed fish,NA,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U153,2015-10-06,None,Present,14.9,NA,115,From JS thawed fish,NA,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U141,2015-10-06,None,Present,13.7,NA,114,From JS thawed fish,NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U142,2015-10-06,None,Present,14.6,NA,116,From JS thawed fish,NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U143,2015-10-06,None,Present,15.1,NA,113,From JS thawed fish,NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U144,2015-10-06,None,Present,14.8,NA,115,From JS thawed fish. 1 cal cop not retained,1 cal cop not retained,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U131,2015-10-07,None,Present,20.3,NA,NA,From JS thawed fish,"Fork length approximately 115, missing caudal fin",CK,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U132,2015-10-07,None,Present,12.3,NA,97,From JS thawed fish,NA,CK,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U154,2015-10-07,None,Present,12.8,NA,105,From JS thawed fish. 1 mangled caligus chal b not retained,1 mangled caligus chal b not retained,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U155,2015-10-07,None,Present,14.4,NA,110,From JS thawed fish,"1 cal cope half found on flank, possible other 1/2 in vial",DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U156,2015-10-07,None,Present,11.2,NA,110,From JS thawed fish,NA,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U157,2015-10-07,None,Present,17.9,NA,115,From JS thawed fish,NA,DS,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U158,2015-10-07,None,Present,12.2,NA,116,From JS thawed fish. 1 caligus cope not retained,1 caligus cope not retained,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U145,2015-10-07,None,Present,14.5,NA,109,From JS thawed fish,NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U146,2015-10-07,None,Present,13.2,NA,105,From JS thawed fish,Pale liver,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U147,2015-10-07,None,Present,18.7,NA,123,From JS thawed fish,1 otolith,KI,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U148,2015-10-07,None,Present,16.9,NA,110,From JS thawed fish,NA,KI,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U149,2015-10-07,None,Present,13.2,NA,110,From JS thawed fish,NA,KI,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U150,2015-10-07,None,Present,12.2,NA,99,From JS thawed fish,NA,KI,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U125,2015-10-07,None,Present,12,NA,104,From JS thawed fish,NA,LP,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U133,2015-10-08,None,Present,11.5,NA,105,From JS thawed fish,NA,CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U134,2015-10-08,None,Present,12.2,NA,104,From JS thawed fish,NA,CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U135,2015-10-08,None,Present,11.3,NA,115,From JS thawed fish,NA,CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U136,2015-10-08,None,Present,9.8,NA,98,From JS thawed fish,NA,CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U137,2015-10-08,None,Present,9.3,NA,93,From JS thawed fish,NA,CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U138,2015-10-08,None,Present,11.2,NA,100,From JS thawed fish,NA,CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U159,2015-10-08,None,Present,11.2,NA,104,From JS thawed fish,Sample missing most of scales,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U160,2015-10-08,None,Present,12.8,NA,107,From JS thawed fish,Sample missing most of scales,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U171,2015-10-08,None,Present,11.4,NA,102,From JS thawed fish,NA,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U161,2015-10-08,None,Present,12.6,NA,105,From JS thawed fish,"1 otolith, 2 nematodes",KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U162,2015-10-08,None,Present,13.5,NA,111,From JS thawed fish,NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U139,2015-10-09,None,Present,13.2,NA,117,"From JS thawed fish. Dylan double checked for lice, no weight taken",NA,CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U140,2015-10-09,None,Present,13.9,NA,110,"From JS thawed fish. Kristi double checked for lice, 1 cal chal b stuck to tray",NA,CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U181,2015-10-09,None,Present,13.1,NA,109,From JS thawed fish,NA,CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U182,2015-10-09,None,Present,NA,NA,112,"From JS thawed fish. Dylan double checked for lice, no weight taken",NA,CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U183,2015-10-09,None,Present,13.5,NA,115,"From JS thawed fish. Kristi double checked for lice, 1 cal chal b stuck to tray",NA,CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U172,2015-10-09,None,Present,12.3,NA,110,From JS thawed fish. Carolyn double checked for lice,Carolyn double checked for lice,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U174,2015-10-09,None,Present,12.2,NA,103,"From JS thawed fish. Kristi double checked for lice, 1 cal chal b stuck to tray",NA,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U163,2015-10-09,None,Present,15.6,NA,110,From JS thawed fish. Carolyn double checked for lice,Carolyn double checked for lice,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
