ufn,date_processed,cwt,adipose,weight,standard_length,fork_length,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,lice_collection_protocol,lice_id_protocol_lab
U43,2015-09-16,None,Present,10.5,,95,From thawed JS fish,Lots of scales missing,DS,nocold,lab_fine_2015,lportner_fine
U23,2015-09-16,None,Present,16.4,,118,From thawed JS fish,NA,KI,nocold,lab_fine_2015,NA
U24,2015-09-16,None,Present,11.8,,105,From thawed JS fish. Scale was broken so could not weigh,Scale was broken so could not weigh,KI,nocold,lab_fine_2015,NA
U25,2015-09-16,None,Present,8.6,,95,From thawed JS fish.,1 otolith,KI,nocold,lab_fine_2015,lportner_fine
U36,2015-09-16,None,Present,14.9,,101,From thawed JS fish,NA,KI,nocold,lab_fine_2015,NA
U17,2015-09-16,None,Present,9.9,,109,From thawed JS fish,NA,LP,nocold,lab_fine_2015,lportner_fine
U45,2015-09-17,None,Present,14,,118,From thawed JS fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U46,2015-09-17,None,Present,14.4,,110,From thawed JS fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U26,2015-09-17,None,Present,13.7,,106,From thawed JS fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U27,2015-09-17,None,Present,12.7,,108,From thawed JS fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U37,2015-09-17,None,Present,10.4,,95,From thawed JS fish,Was missing most scales when it came out of the bag,KI,nocold,lab_fine_2015,lportner_fine
U38,2015-09-17,None,Present,12.2,,108,From thawed JS fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U18,2015-09-17,None,Present,9.9,,96,From thawed JS fish,"external bleeding on head, brain hemmorraged",LP,nocold,lab_fine_2015,NA
U40,2015-09-18,None,Present,13.7,,106,From thawed JS fish. 1 cal cop not retained,NA,CK,nocold,lab_fine_2015,lportner_fine
U51,2015-09-18,None,Present,12.2,,104,From thawed JS fish,NA,CK,nocold,lab_fine_2015,lportner_fine
U52,2015-09-18,None,Present,18.1,,121,From thawed JS fish.,1 otolith,CK,nocold,lab_fine_2015,lportner_fine
U47,2015-09-18,None,Present,13.4,,107,From thawed JS fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U48,2015-09-18,None,Present,10.9,,103,From thawed JS fish,"Big pred scar on left flank, missing scales",DS,nocold,lab_fine_2015,lportner_fine
U49,2015-09-18,None,Present,13.5,,109,From thawed JS fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U50,2015-09-18,None,Present,13.9,,114,"From thawed JS fish. 1 unidentified chal b unretained, 1 female cal chal b mangled",NA,DS,nocold,lab_fine_2015,lportner_fine
U28,2015-09-18,None,Present,11.4,,104,"From thawed JS fish. 3 copes, 1 chal a 1 chal b not removed before dissection on pelvic region due to melting",NA,KI,nocold,lab_fine_2015,lportner_fine
U29,2015-09-18,None,Present,11.5,,100,From thawed JS fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U30,2015-09-18,None,Present,12.2,,106,From thawed JS fish.,1 otolith,KI,nocold,lab_fine_2015,lportner_fine
U61,2015-09-18,None,Present,12.8,,108,From thawed JS fish. 2 louse destroyed in vial,NA,KI,nocold,lab_fine_2015,lportner_fine
U62,2015-09-18,None,Present,20.2,,123,From thawed JS fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U19,2015-09-18,None,Present,9.8,,98,From thawed JS fish,"Both lobes of the tail disconected from on removal from bag, 1 louse was too dry to remove from tray it was a cal chal b.",LP,nocold,lab_fine_2015,lportner_fine
U53,2015-09-21,None,Present,20.7,,125,From thawed JS fish,"Kidneys very pale pink, caudal fin broken",CK,nocold,lab_fine_2015,lportner_fine
U54,2015-09-21,None,Present,15,,110,From thawed JS fish. Sample beginning to get soft when RNA taken,NA,CK,nocold,lab_fine_2015,lportner_fine
U71,2015-09-21,None,Present,13.6,,110,"From thawed JS fish. 1 caligus cope didnt see it get into vial, but it was no longer on forceps.",NA,DS,nocold,lab_fine_2015,lportner_fine
U72,2015-09-21,None,Present,12,,103,"From thawed JS fish. 1 caligus cope not retained, lunials found in the bag (from louse already collected?)",NA,DS,nocold,lab_fine_2015,lportner_fine
U73,2015-09-21,None,Present,12.3,,113,From thawed JS fish,1 chal b caligus,DS,nocold,lab_fine_2015,lportner_fine
U63,2015-09-21,None,Present,15.6,,110,From thawed JS fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U101,2015-09-22,None,Present,12.6,,113,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U102,2015-09-22,None,Present,12,,104,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U103,2015-09-22,None,Present,15.4,,112,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U20,2015-09-22,None,Present,15.7,,118,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U55,2015-09-22,None,Present,7.5,,89,"From JS thawed fish, experimental data set.",1 otolith,KI,nocold,lab_fine_2015,lportner_fine
U56,2015-09-22,None,Present,9.3,,93,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U57,2015-09-22,None,Present,13.1,,113,"From JS thawed fish, experimental data set. 1 squished adult, unk. species",NA,KI,nocold,lab_fine_2015,lportner_fine
U58,2015-09-22,None,Present,10.4,,96,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U60,2015-09-22,None,Present,14,,113,"From JS thawed fish, experimental data set",White nematode ~2 cm long in gut region,KI,nocold,lab_fine_2015,lportner_fine
U64,2015-09-22,None,Present,23.4,,140,"From JS thawed fish, experimental data set. Isotopes: too mushy to get a sample","1 adult caligus cut in half, white cysts on stomach anterior to spleen",KI,nocold,lab_fine_2015,lportner_fine
U65,2015-09-22,None,Present,15.4,,112,"From JS thawed fish, experimental data set. No scales taken.","No scales present, 1 otolith",KI,nocold,lab_fine_2015,lportner_fine
U66,2015-09-22,None,Present,8.1,,107,"From JS thawed fish, experimental data set",1 otolith,KI,nocold,lab_fine_2015,lportner_fine
U74,2015-09-22,None,Present,8.3,,96,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U75,2015-09-22,None,Present,10,,96,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U59,2015-09-23,None,Present,7.1,,88,"From JS thawed fish, experimental data set. One louse on dorsal fin damaged put into vial, likely chal b stage",NA,KI,nocold,lab_fine_2015,lportner_fine
U68,2015-09-23,None,Present,7.2,,93,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U69,2015-09-23,None,Present,11.2,,102,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U70,2015-09-23,None,Present,13.9,,108,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U76,2015-09-23,None,Present,12.5,,108,"From JS thawed fish, experimental data set. 1 cal copepod mangled, not retained",NA,KI,nocold,lab_fine_2015,lportner_fine
U77,2015-09-23,None,Present,7,,86,"From JS thawed fish, experimental data set","1 otolith retained, 1 louse found on outside of bag",KI,nocold,lab_fine_2015,lportner_fine
U78,2015-09-23,None,Present,15.9,,118,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U79,2015-09-23,None,Present,14.9,,110,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U80,2015-09-23,None,Present,15.1,,110,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U81,2015-09-23,None,Present,13.6,,111,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U91,2015-09-23,None,Present,13.4,,110,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U92,2015-09-23,None,Present,11.5,,102,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U82,2015-09-24,None,Present,12.7,,102,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U83,2015-09-24,None,Present,12.7,,106,"From JS thawed fish, experimental data set. 1 chal. a destroyed but retained",NA,KI,nocold,lab_fine_2015,lportner_fine
U84,2015-09-24,None,Present,10.7,,100,"From JS thawed fish, experimental data set. 1 cal. cap. disintigrated",NA,KI,nocold,lab_fine_2015,lportner_fine
U85,2015-09-24,None,Present,16.9,,119,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U93,2015-09-24,None,Present,11.6,,100,"From JS thawed fish, experimental data set. Tissues too liquid to take DNA",Tissues too liquid to take DNA,KI,nocold,lab_fine_2015,lportner_fine
U94,2015-09-24,None,Present,10.6,,100,"From JS thawed fish, experimental data set. Organs too mushy to take DNA",NA,KI,nocold,lab_fine_2015,lportner_fine
U95,2015-09-24,None,Present,11.6,,100,"From JS thawed fish, experimental data set. No DNA or isotopes, tissues liquid","Hemorraged anal fin, 1 otolith",KI,nocold,lab_fine_2015,lportner_fine
U96,2015-09-24,None,Present,12.5,,99,"From JS thawed fish, experimental data set",1 otolith,KI,nocold,lab_fine_2015,lportner_fine
U97,2015-09-24,None,Present,12.2,,102,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U98,2015-09-24,None,Present,7.7,,93,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U111,2015-09-25,None,Present,10.9,,106,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U112,2015-09-25,None,Present,10.4,,102,"From JS thawed fish, experimental data set. 1 mangled cal chal b retained",1 mangled cal chal b retained,KI,nocold,lab_fine_2015,lportner_fine
U86,2015-09-25,None,Present,10.1,,104,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U87,2015-09-25,None,Present,15.1,,115,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U88,2015-09-25,None,Present,13.6,,112,"From JS thawed fish, experimental data set. Half of a calanus motile retained",Half of a calanus motile retained,KI,nocold,lab_fine_2015,lportner_fine
U89,2015-09-25,None,Present,14.1,,109,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U90,2015-09-25,None,Present,11.9,,109,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U104,2015-09-28,None,Present,10.2,,108,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U105,2015-09-28,None,Present,13.4,,113,"From JS thawed fish, experimental data set. Scale may have overlapped (BSC3-32)",1 otolith,KI,nocold,lab_fine_2015,lportner_fine
U106,2015-09-28,None,Present,11.2,,103,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U107,2015-09-28,None,Present,13.5,,119,"From JS thawed fish, experimental data set. Unknown sp. found (maybe small crab larvae?) put in vial labelled ""u107""",NA,KI,nocold,lab_fine_2015,lportner_fine
U108,2015-09-28,None,Present,12.9,,106,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U113,2015-09-28,None,Present,12.4,,109,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U114,2015-09-28,None,Present,12.9,,108,"From JS thawed fish, experimental data set. 1 chal a cal not retained",1 chal a cal not retained,KI,nocold,lab_fine_2015,lportner_fine
U115,2015-09-28,None,Present,12.3,,107,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U116,2015-09-28,None,Present,13.8,,115,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U121,2015-09-28,None,Present,11.1,,109,"From JS thawed fish, experimental data set. Scale may have overlapped (BSC3-32)",NA,KI,nocold,lab_fine_2015,lportner_fine
U122,2015-09-28,None,Present,9.1,,97,"From JS thawed fish, experimental data set",Only 1 otolith found,KI,nocold,lab_fine_2015,lportner_fine
U123,2015-09-28,None,Present,14,,115,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U109,2015-09-29,None,Present,10.8,,104,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U117,2015-09-29,None,Present,10.4,,103,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U118,2015-09-29,None,Present,12.9,,102,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U124,2015-09-29,None,Present,10.6,,103,"From JS thawed fish, experimental data set",NA,KI,nocold,lab_fine_2015,lportner_fine
U110,2015-10-05,None,Present,10.8,,103,"From thawed JS fish. Dropped louse vial, but nothing appeared to have come out.",NA,CK,nocold,lab_fine_2015,NA
U119,2015-10-05,None,Present,15,,113,From JS thawed fish,1 unidentified organism,DS,nocold,lab_fine_2015,lportner_fine
U100,2015-10-05,None,Present,15.9,,115,From thawed JS fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U99,2015-10-05,None,Present,7.3,,88,RNA taken,NA,KI,irregular,lab_fine_2015,lportner_fine
U120,2015-10-06,None,Present,16.9,,122,From JS thawed fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U151,2015-10-06,None,Present,14.8,,116,From JS thawed fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U152,2015-10-06,None,Present,21,,127,From JS thawed fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U153,2015-10-06,None,Present,14.9,,115,From JS thawed fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U141,2015-10-06,None,Present,13.7,,114,From JS thawed fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U142,2015-10-06,None,Present,14.6,,116,From JS thawed fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U143,2015-10-06,None,Present,15.1,,113,From JS thawed fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U144,2015-10-06,None,Present,14.8,,115,From JS thawed fish. 1 cal cop not retained,1 cal cop not retained,KI,nocold,lab_fine_2015,lportner_fine
U131,2015-10-07,None,Present,20.3,,NA,From JS thawed fish,"Fork length approximately 115, missing caudal fin",CK,nocold,lab_fine_2015,NA
U132,2015-10-07,None,Present,12.3,,97,From JS thawed fish,NA,CK,nocold,lab_fine_2015,NA
U154,2015-10-07,None,Present,12.8,,105,From JS thawed fish. 1 mangled caligus chal b not retained,1 mangled caligus chal b not retained,DS,nocold,lab_fine_2015,lportner_fine
U155,2015-10-07,None,Present,14.4,,110,From JS thawed fish,"1 cal cope half found on flank, possible other 1/2 in vial",DS,nocold,lab_fine_2015,lportner_fine
U156,2015-10-07,None,Present,11.2,,110,From JS thawed fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U157,2015-10-07,None,Present,17.9,,115,From JS thawed fish,NA,DS,nocold,lab_fine_2015,NA
U158,2015-10-07,None,Present,12.2,,116,From JS thawed fish. 1 caligus cope not retained,1 caligus cope not retained,DS,nocold,lab_fine_2015,lportner_fine
U145,2015-10-07,None,Present,14.5,,109,From JS thawed fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U146,2015-10-07,None,Present,13.2,,105,From JS thawed fish,Pale liver,KI,nocold,lab_fine_2015,lportner_fine
U147,2015-10-07,None,Present,18.7,,123,From JS thawed fish,1 otolith,KI,nocold,lab_fine_2015,NA
U148,2015-10-07,None,Present,16.9,,110,From JS thawed fish,NA,KI,nocold,lab_fine_2015,NA
U149,2015-10-07,None,Present,13.2,,110,From JS thawed fish,NA,KI,nocold,lab_fine_2015,NA
U150,2015-10-07,None,Present,12.2,,99,From JS thawed fish,NA,KI,nocold,lab_fine_2015,NA
U125,2015-10-07,None,Present,12,,104,From JS thawed fish,NA,LP,nocold,lab_fine_2015,lportner_fine
U133,2015-10-08,None,Present,11.5,,105,From JS thawed fish,NA,CK,nocold,lab_fine_2015,lportner_fine
U134,2015-10-08,None,Present,12.2,,104,From JS thawed fish,NA,CK,nocold,lab_fine_2015,lportner_fine
U135,2015-10-08,None,Present,11.3,,115,From JS thawed fish,NA,CK,nocold,lab_fine_2015,lportner_fine
U136,2015-10-08,None,Present,9.8,,98,From JS thawed fish,NA,CK,nocold,lab_fine_2015,lportner_fine
U137,2015-10-08,None,Present,9.3,,93,From JS thawed fish,NA,CK,nocold,lab_fine_2015,lportner_fine
U138,2015-10-08,None,Present,11.2,,100,From JS thawed fish,NA,CK,nocold,lab_fine_2015,lportner_fine
U159,2015-10-08,None,Present,11.2,,104,From JS thawed fish,Sample missing most of scales,DS,nocold,lab_fine_2015,lportner_fine
U160,2015-10-08,None,Present,12.8,,107,From JS thawed fish,Sample missing most of scales,DS,nocold,lab_fine_2015,lportner_fine
U171,2015-10-08,None,Present,11.4,,102,From JS thawed fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U161,2015-10-08,None,Present,12.6,,105,From JS thawed fish,"1 otolith, 2 nematodes",KI,nocold,lab_fine_2015,lportner_fine
U162,2015-10-08,None,Present,13.5,,111,From JS thawed fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U139,2015-10-09,None,Present,13.2,,117,"From JS thawed fish. Dylan double checked for lice, no weight taken",NA,CK,nocold,lab_fine_2015,lportner_fine
U140,2015-10-09,None,Present,13.9,,110,"From JS thawed fish. Kristi double checked for lice, 1 cal chal b stuck to tray",NA,CK,nocold,lab_fine_2015,lportner_fine
U181,2015-10-09,None,Present,13.1,,109,From JS thawed fish,NA,CK,nocold,lab_fine_2015,lportner_fine
U182,2015-10-09,None,Present,NA,,112,"From JS thawed fish. Dylan double checked for lice, no weight taken",NA,CK,nocold,lab_fine_2015,lportner_fine
U183,2015-10-09,None,Present,13.5,,115,"From JS thawed fish. Kristi double checked for lice, 1 cal chal b stuck to tray",NA,CK,nocold,lab_fine_2015,lportner_fine
U172,2015-10-09,None,Present,12.3,,110,From JS thawed fish. Carolyn double checked for lice,Carolyn double checked for lice,DS,nocold,lab_fine_2015,lportner_fine
U174,2015-10-09,None,Present,12.2,,103,"From JS thawed fish. Kristi double checked for lice, 1 cal chal b stuck to tray",NA,DS,nocold,lab_fine_2015,lportner_fine
U163,2015-10-09,None,Present,15.6,,110,From JS thawed fish. Carolyn double checked for lice,Carolyn double checked for lice,KI,nocold,lab_fine_2015,lportner_fine
U164,2015-10-09,None,Present,18.6,,130,"From JS thawed fish. 1 copepodid destroyed and not retained, carolyn double checked for lice",NA,KI,nocold,lab_fine_2015,lportner_fine
U165,2015-10-09,None,Present,13,,109,"From JS thawed fish, Dylan double checked for lice",NA,KI,nocold,lab_fine_2015,lportner_fine
U166,2015-10-09,None,Present,14.1,,115,"From JS thawed fish, Dylan double checked for lice",NA,KI,nocold,lab_fine_2015,lportner_fine
U184,2015-10-13,None,Present,13.8,,106,From JS thawed fish,NA,CK,nocold,lab_fine_2015,lportner_fine
U185,2015-10-13,None,Present,10.8,,93,From JS thawed fish,NA,CK,nocold,lab_fine_2015,lportner_fine
U186,2015-10-13,None,Present,13,,103,From JS thawed fish,NA,CK,nocold,lab_fine_2015,lportner_fine
U187,2015-10-13,None,Present,12.6,,108,From JS thawed fish,NA,CK,nocold,lab_fine_2015,lportner_fine
U188,2015-10-13,None,Present,10.6,,102,From JS thawed fish,NA,CK,nocold,lab_fine_2015,lportner_fine
U189,2015-10-13,None,Present,13.4,,108,From JS thawed fish,NA,CK,nocold,lab_fine_2015,lportner_fine
U175,2015-10-13,None,Present,11.7,,107,From JS thawed fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U176,2015-10-13,None,Present,9.3,,96,"From JS thawed fish. Cracked otolith, only 1 retained",Lots of scales missing,DS,nocold,lab_fine_2015,lportner_fine
U177,2015-10-13,None,Present,14,,111,From JS thawed fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U178,2015-10-13,None,Present,12.8,,106,From JS thawed fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U179,2015-10-13,None,Present,11.2,,102,From JS thawed fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U167,2015-10-13,None,Present,13.5,,103,"From JS thawed fish. Cal a not retained, 1 cal b cal retained from u168 by mistake",NA,KI,nocold,lab_fine_2015,lportner_fine
U168,2015-10-13,None,Present,10.5,,110,From JS thawed fish. 1 cal b cal not retained,1 cal b cal not retained,KI,nocold,lab_fine_2015,lportner_fine
U169,2015-10-13,None,Present,11.9,,104,From JS thawed fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U170,2015-10-13,None,Present,10.6,,103,From JS thawed fish,1 otolith,KI,nocold,lab_fine_2015,lportner_fine
U191,2015-10-13,None,Present,17.7,,120,From JS thawed fish,1 otolith,KI,nocold,lab_fine_2015,lportner_fine
U126,2015-10-13,None,Present,11.6,,104,From JS thawed fish,NA,LP,nocold,lab_fine_2015,lportner_fine
U180,2015-10-14,None,Present,11.8,,108,From JS thawed fish. 1 caligus chal a not retained,NA,DS,nocold,lab_fine_2015,lportner_fine
U201,2015-10-14,None,Present,13.4,,105,From JS thawed fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U202,2015-10-14,None,Present,14.9,,113,From JS thawed fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U203,2015-10-14,None,Present,11.7,,103,From JS thawed fish. 1 caligus chal a not retained,1 caligus chal a not retained,DS,nocold,lab_fine_2015,lportner_fine
U204,2015-10-14,None,Present,17.8,,119,From JS thawed fish,NA,DS,nocold,lab_fine_2015,NA
U192,2015-10-14,None,Present,13.8,,112,From JS thawed fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U193,2015-10-14,None,Present,12.8,,108,From JS thawed fish,1 otolith,KI,nocold,lab_fine_2015,lportner_fine
U194,2015-10-14,None,Present,15,,128,From JS thawed fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U195,2015-10-14,None,Present,29.8,,139,From JS thawed fish,NA,KI,nocold,lab_fine_2015,NA
U190,2015-10-16,None,Present,18.5,,120,From JS thawed fish,NA,CK,nocold,lab_fine_2015,NA
U211,2015-10-16,None,Present,31.4,,142,From JS thawed fish,NA,CK,nocold,lab_fine_2015,NA
U212,2015-10-16,None,Present,30.3,,138,From JS thawed fish,Tag said j08 typo?,CK,nocold,lab_fine_2015,NA
U205,2015-10-16,None,Present,38.8,,153,From JS thawed fish,NA,DS,nocold,lab_fine_2015,NA
U206,2015-10-16,CWT,Present,29.7,,136,From JS thawed fish,NA,DS,nocold,lab_fine_2015,NA
U196,2015-10-16,None,Present,13.6,,109,From JS thawed fish,1 otolith,KI,nocold,lab_fine_2015,NA
U197,2015-10-16,None,Present,17.1,,113,From JS thawed fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U198,2015-10-16,None,Present,37.8,,150,From JS thawed fish,NA,KI,nocold,lab_fine_2015,NA
U199,2015-10-16,None,Present,48.6,,155,From JS thawed fish,NA,KI,nocold,lab_fine_2015,NA
U213,2015-10-20,None,Present,11.4,,92,RNA samples being sent to Miller lab for trial,NA,CK,full1,lab_fine_2015,lportner_fine
U214,2015-10-20,None,Present,7.6,,87,RNA samples being sent to Miller lab for trial,NA,CK,full1,lab_fine_2015,lportner_fine
U215,2015-10-20,None,Present,10.7,,100,RNA samples being sent to Miller lab for trial,NA,CK,full1,lab_fine_2015,lportner_fine
U216,2015-10-20,None,Present,9.6,,96,RNA samples being sent to Miller lab for trial,NA,CK,full1,lab_fine_2015,lportner_fine
U217,2015-10-20,None,Present,10.6,,100,RNA samples being sent to Miller lab for trial,NA,CK,full1,lab_fine_2015,lportner_fine
U207,2015-10-20,None,Present,8.6,,93,RNA samples being sent to Miller lab for trial. DNA small chunk taken,NA,DS,full1,lab_fine_2015,lportner_fine
U208,2015-10-20,None,Present,8.2,,92,"RNA samples being sent to Miller lab for trial. 1 caligus cal a not retained, kidney in vial labeled f1",NA,DS,full1,lab_fine_2015,lportner_fine
U209,2015-10-20,None,Present,10.2,,92,RNA samples being sent to Miller lab for trial,NA,DS,full1,lab_fine_2015,lportner_fine
U210,2015-10-20,None,Present,10,,98,RNA samples being sent to Miller lab for trial. no otoliths. 1 cal a caligus not retained,No otoliths,DS,full1,lab_fine_2015,lportner_fine
U241,2015-10-20,None,Present,9.3,,99,RNA samples being sent to Miller lab for trial,NA,DS,full1,lab_fine_2015,lportner_fine
U200,2015-10-20,None,Present,8,,82,RNA samples being sent to Miller lab for trial,NA,KI,full1,lab_fine_2015,lportner_fine
U231,2015-10-20,None,Present,10.7,,96,RNA samples being sent to Miller lab for trial,NA,KI,full1,lab_fine_2015,lportner_fine
