sample_id,sample_type,sample_subtype,ufn,sample_comments,analyzing_lab
U327RG1,RNA_pathogens,gill,U327,NA,NA
U328RG1,RNA_pathogens,gill,U328,NA,NA
U329RG1,RNA_pathogens,gill,U329,NA,NA
U330RG1,RNA_pathogens,gill,U330,NA,NA
U331RG1,RNA_pathogens,gill,U331,NA,NA
U332RG1,RNA_pathogens,gill,U332,NA,NA
U333RG1,RNA_pathogens,gill,U333,NA,NA
U334RG1,RNA_pathogens,gill,U334,NA,NA
U335RG1,RNA_pathogens,gill,U335,NA,NA
U336RG1,RNA_pathogens,gill,U336,NA,NA
U337RG1,RNA_pathogens,gill,U337,NA,NA
U338RG1,RNA_pathogens,gill,U338,NA,NA
U339RG1,RNA_pathogens,gill,U339,NA,NA
U340RG1,RNA_pathogens,gill,U340,NA,NA
U341RG1,RNA_pathogens,gill,U341,NA,NA
U342RG1,RNA_pathogens,gill,U342,NA,NA
U343RG1,RNA_pathogens,gill,U343,NA,NA
U344RG1,RNA_pathogens,gill,U344,NA,NA
U345RG1,RNA_pathogens,gill,U345,NA,NA
U346RG1,RNA_pathogens,gill,U346,NA,NA
U347RG1,RNA_pathogens,gill,U347,NA,NA
U348RG1,RNA_pathogens,gill,U348,NA,NA
U349RG1,RNA_pathogens,gill,U349,NA,NA
U350RG1,RNA_pathogens,gill,U350,NA,NA
U351RG1,RNA_pathogens,gill,U351,NA,NA
U352RG1,RNA_pathogens,gill,U352,NA,NA
U353RG1,RNA_pathogens,gill,U353,NA,NA
U354RG1,RNA_pathogens,gill,U354,NA,NA
U355RG1,RNA_pathogens,gill,U355,NA,NA
U356RG1,RNA_pathogens,gill,U356,NA,NA
U357RG1,RNA_pathogens,gill,U357,NA,NA
U358RG1,RNA_pathogens,gill,U358,NA,NA
U359RG1,RNA_pathogens,gill,U359,NA,NA
U360RG1,RNA_pathogens,gill,U360,NA,NA
U361RG1,RNA_pathogens,gill,U361,NA,NA
U362RG1,RNA_pathogens,gill,U362,NA,NA
U363RG1,RNA_pathogens,gill,U363,NA,NA
U364RG1,RNA_pathogens,gill,U364,NA,NA
U365RG1,RNA_pathogens,gill,U365,NA,NA
U366RG1,RNA_pathogens,gill,U366,NA,NA
U367RG1,RNA_pathogens,gill,U367,NA,NA
U368RG1,RNA_pathogens,gill,U368,NA,NA
U369RG1,RNA_pathogens,gill,U369,NA,NA
U370RG1,RNA_pathogens,gill,U370,NA,NA
U371RG1,RNA_pathogens,gill,U371,NA,NA
U372RG1,RNA_pathogens,gill,U372,NA,NA
U373RG1,RNA_pathogens,gill,U373,NA,NA
U374RG1,RNA_pathogens,gill,U374,NA,NA
U375RG1,RNA_pathogens,gill,U375,NA,NA
U376RG1,RNA_pathogens,gill,U376,NA,NA
U377RG1,RNA_pathogens,gill,U377,NA,NA
U378RG1,RNA_pathogens,gill,U378,NA,NA
U379RG1,RNA_pathogens,gill,U379,NA,NA
U380RG1,RNA_pathogens,gill,U380,NA,NA
U381RG1,RNA_pathogens,gill,U381,NA,NA
U382RG1,RNA_pathogens,gill,U382,NA,NA
U383RG1,RNA_pathogens,gill,U383,NA,NA
U384RG1,RNA_pathogens,gill,U384,NA,NA
U385RG1,RNA_pathogens,gill,U385,NA,NA
U386RG1,RNA_pathogens,gill,U386,NA,NA
U387RG1,RNA_pathogens,gill,U387,NA,NA
U388RG1,RNA_pathogens,gill,U388,NA,NA
U389RG1,RNA_pathogens,gill,U389,NA,NA
U390RG1,RNA_pathogens,gill,U390,NA,NA
U391RG1,RNA_pathogens,gill,U391,NA,NA
U392RG1,RNA_pathogens,gill,U392,NA,NA
U393RG1,RNA_pathogens,gill,U393,NA,NA
U394RG1,RNA_pathogens,gill,U394,NA,NA
U395RG1,RNA_pathogens,gill,U395,NA,NA
U396RG1,RNA_pathogens,gill,U396,NA,NA
U397RG1,RNA_pathogens,gill,U397,NA,NA
U398RG1,RNA_pathogens,gill,U398,NA,NA
U399RG1,RNA_pathogens,gill,U399,NA,NA
U400RG1,RNA_pathogens,gill,U400,NA,NA
U401RG1,RNA_pathogens,gill,U401,NA,NA
U402RG1,RNA_pathogens,gill,U402,NA,NA
U403RG1,RNA_pathogens,gill,U403,NA,NA
U404RG1,RNA_pathogens,gill,U404,NA,NA
U405RG1,RNA_pathogens,gill,U405,NA,NA
U406RG1,RNA_pathogens,gill,U406,NA,NA
U407RG1,RNA_pathogens,gill,U407,NA,NA
U408RG1,RNA_pathogens,gill,U408,NA,NA
U409RG1,RNA_pathogens,gill,U409,NA,NA
U410RG1,RNA_pathogens,gill,U410,NA,NA
U411RG1,RNA_pathogens,gill,U411,NA,NA
U412RG1,RNA_pathogens,gill,U412,NA,NA
U413RG1,RNA_pathogens,gill,U413,NA,NA
U414RG1,RNA_pathogens,gill,U414,NA,NA
U415RG1,RNA_pathogens,gill,U415,NA,NA
U416RG1,RNA_pathogens,gill,U416,NA,NA
U417RG1,RNA_pathogens,gill,U417,NA,NA
U418RG1,RNA_pathogens,gill,U418,NA,NA
U419RG1,RNA_pathogens,gill,U419,NA,NA
U420RG1,RNA_pathogens,gill,U420,NA,NA
U421RG1,RNA_pathogens,gill,U421,NA,NA
U422RG1,RNA_pathogens,gill,U422,NA,NA
U423RG1,RNA_pathogens,gill,U423,NA,NA
U424RG1,RNA_pathogens,gill,U424,NA,NA
U425RG1,RNA_pathogens,gill,U425,NA,NA
U426RG1,RNA_pathogens,gill,U426,NA,NA
U427RG1,RNA_pathogens,gill,U427,NA,NA
U428RG1,RNA_pathogens,gill,U428,NA,NA
U429RG1,RNA_pathogens,gill,U429,NA,NA
U430RG1,RNA_pathogens,gill,U430,NA,NA
U431RG1,RNA_pathogens,gill,U431,NA,NA
U432RG1,RNA_pathogens,gill,U432,NA,NA
U433RG1,RNA_pathogens,gill,U433,NA,NA
U434RG1,RNA_pathogens,gill,U434,NA,NA
U435RG1,RNA_pathogens,gill,U435,NA,NA
U436RG1,RNA_pathogens,gill,U436,NA,NA
U437RG1,RNA_pathogens,gill,U437,NA,NA
U438RG1,RNA_pathogens,gill,U438,NA,NA
U439RG1,RNA_pathogens,gill,U439,NA,NA
U440RG1,RNA_pathogens,gill,U440,NA,NA
U441RG1,RNA_pathogens,gill,U441,NA,NA
U442RG1,RNA_pathogens,gill,U442,NA,NA
U443RG1,RNA_pathogens,gill,U443,NA,NA
U444RG1,RNA_pathogens,gill,U444,NA,NA
U445RG1,RNA_pathogens,gill,U445,NA,NA
U446RG1,RNA_pathogens,gill,U446,NA,NA
U447RG1,RNA_pathogens,gill,U447,NA,NA
U448RG1,RNA_pathogens,gill,U448,NA,NA
U449RG1,RNA_pathogens,gill,U449,NA,NA
U450RG1,RNA_pathogens,gill,U450,NA,NA
U451RG1,RNA_pathogens,gill,U451,NA,NA
U452RG1,RNA_pathogens,gill,U452,NA,NA
U453RG1,RNA_pathogens,gill,U453,NA,NA
U454RG1,RNA_pathogens,gill,U454,NA,NA
U455RG1,RNA_pathogens,gill,U455,NA,NA
U456RG1,RNA_pathogens,gill,U456,NA,NA
U457RG1,RNA_pathogens,gill,U457,NA,NA
U458RG1,RNA_pathogens,gill,U458,NA,NA
U459RG1,RNA_pathogens,gill,U459,NA,NA
U460RG1,RNA_pathogens,gill,U460,NA,NA
U461RG1,RNA_pathogens,gill,U461,NA,NA
U462RG1,RNA_pathogens,gill,U462,NA,NA
U463RG1,RNA_pathogens,gill,U463,NA,NA
U464RG1,RNA_pathogens,gill,U464,NA,NA
U465RG1,RNA_pathogens,gill,U465,NA,NA
U466RG1,RNA_pathogens,gill,U466,NA,NA
U467RG1,RNA_pathogens,gill,U467,NA,NA
U468RG1,RNA_pathogens,gill,U468,NA,NA
U469RG1,RNA_pathogens,gill,U469,NA,NA
U470RG1,RNA_pathogens,gill,U470,NA,NA
U471RG1,RNA_pathogens,gill,U471,NA,NA
U472RG1,RNA_pathogens,gill,U472,NA,NA
U473RG1,RNA_pathogens,gill,U473,NA,NA
U474RG1,RNA_pathogens,gill,U474,NA,NA
U475RG1,RNA_pathogens,gill,U475,NA,NA
U476RG1,RNA_pathogens,gill,U476,NA,NA
U477RG1,RNA_pathogens,gill,U477,NA,NA
U478RG1,RNA_pathogens,gill,U478,NA,NA
U479RG1,RNA_pathogens,gill,U479,NA,NA
U480RG1,RNA_pathogens,gill,U480,NA,NA
U481RG1,RNA_pathogens,gill,U481,NA,NA
U482RG1,RNA_pathogens,gill,U482,NA,NA
U483RG1,RNA_pathogens,gill,U483,NA,NA
U484RG1,RNA_pathogens,gill,U484,NA,NA
U485RG1,RNA_pathogens,gill,U485,NA,NA
U486RG1,RNA_pathogens,gill,U486,NA,NA
U487RG1,RNA_pathogens,gill,U487,NA,NA
U488RG1,RNA_pathogens,gill,U488,NA,NA
U489RG1,RNA_pathogens,gill,U489,NA,NA
U490RG1,RNA_pathogens,gill,U490,NA,NA
U491RG1,RNA_pathogens,gill,U491,NA,NA
U492RG1,RNA_pathogens,gill,U492,NA,NA
U493RG1,RNA_pathogens,gill,U493,NA,NA
U494RG1,RNA_pathogens,gill,U494,NA,NA
U495RG1,RNA_pathogens,gill,U495,NA,NA
U496RG1,RNA_pathogens,gill,U496,NA,NA
U497RG1,RNA_pathogens,gill,U497,NA,NA
U498RG1,RNA_pathogens,gill,U498,NA,NA
U499RG1,RNA_pathogens,gill,U499,NA,NA
U500RG1,RNA_pathogens,gill,U500,NA,NA
U501RG1,RNA_pathogens,gill,U501,NA,NA
U502RG1,RNA_pathogens,gill,U502,NA,NA
U503RG1,RNA_pathogens,gill,U503,NA,NA
U504RG1,RNA_pathogens,gill,U504,NA,NA
U505RG1,RNA_pathogens,gill,U505,NA,NA
U506RG1,RNA_pathogens,gill,U506,NA,NA
U507RG1,RNA_pathogens,gill,U507,NA,NA
U508RG1,RNA_pathogens,gill,U508,NA,NA
U509RG1,RNA_pathogens,gill,U509,NA,NA
U510RG1,RNA_pathogens,gill,U510,NA,NA
U511RG1,RNA_pathogens,gill,U511,NA,NA
U512RG1,RNA_pathogens,gill,U512,NA,NA
U513RG1,RNA_pathogens,gill,U513,NA,NA
U514RG1,RNA_pathogens,gill,U514,NA,NA
U515RG1,RNA_pathogens,gill,U515,NA,NA
U516RG1,RNA_pathogens,gill,U516,NA,NA
U517RG1,RNA_pathogens,gill,U517,NA,NA
U518RG1,RNA_pathogens,gill,U518,NA,NA
U519RG1,RNA_pathogens,gill,U519,NA,NA
U520RG1,RNA_pathogens,gill,U520,NA,NA
U521RG1,RNA_pathogens,gill,U521,NA,NA
U522RG1,RNA_pathogens,gill,U522,NA,NA
U523RG1,RNA_pathogens,gill,U523,NA,NA
U524RG1,RNA_pathogens,gill,U524,NA,NA
U525RG1,RNA_pathogens,gill,U525,NA,NA
U526RG1,RNA_pathogens,gill,U526,NA,NA
U527RG1,RNA_pathogens,gill,U527,NA,NA
U528RG1,RNA_pathogens,gill,U528,NA,NA
U529RG1,RNA_pathogens,gill,U529,NA,NA
U530RG1,RNA_pathogens,gill,U530,NA,NA
U531RG1,RNA_pathogens,gill,U531,NA,NA
U532RG1,RNA_pathogens,gill,U532,NA,NA
U533RG1,RNA_pathogens,gill,U533,NA,NA
U534RG1,RNA_pathogens,gill,U534,NA,NA
U535RG1,RNA_pathogens,gill,U535,NA,NA
U536RG1,RNA_pathogens,gill,U536,NA,NA
U537RG1,RNA_pathogens,gill,U537,NA,NA
U538RG1,RNA_pathogens,gill,U538,NA,NA
U539RG1,RNA_pathogens,gill,U539,NA,NA
U540RG1,RNA_pathogens,gill,U540,NA,NA
U541RG1,RNA_pathogens,gill,U541,NA,NA
U542RG1,RNA_pathogens,gill,U542,NA,NA
U543RG1,RNA_pathogens,gill,U543,NA,NA
U544RG1,RNA_pathogens,gill,U544,NA,NA
U545RG1,RNA_pathogens,gill,U545,NA,NA
U546RG1,RNA_pathogens,gill,U546,NA,NA
U547RG1,RNA_pathogens,gill,U547,NA,NA
U548RG1,RNA_pathogens,gill,U548,NA,NA
U549RG1,RNA_pathogens,gill,U549,NA,NA
U550RG1,RNA_pathogens,gill,U550,NA,NA
U551RG1,RNA_pathogens,gill,U551,NA,NA
U552RG1,RNA_pathogens,gill,U552,NA,NA
U553RG1,RNA_pathogens,gill,U553,NA,NA
U554RG1,RNA_pathogens,gill,U554,NA,NA
U555RG1,RNA_pathogens,gill,U555,NA,NA
U556RG1,RNA_pathogens,gill,U556,NA,NA
U557RG1,RNA_pathogens,gill,U557,NA,NA
U558RG1,RNA_pathogens,gill,U558,NA,NA
U559RG1,RNA_pathogens,gill,U559,NA,NA
U560RG1,RNA_pathogens,gill,U560,NA,NA
U561RG1,RNA_pathogens,gill,U561,NA,NA
U562RG1,RNA_pathogens,gill,U562,NA,NA
U563RG1,RNA_pathogens,gill,U563,NA,NA
U564RG1,RNA_pathogens,gill,U564,NA,NA
U565RG1,RNA_pathogens,gill,U565,NA,NA
U566RG1,RNA_pathogens,gill,U566,NA,NA
U567RG1,RNA_pathogens,gill,U567,NA,NA
U568RG1,RNA_pathogens,gill,U568,NA,NA
U569RG1,RNA_pathogens,gill,U569,NA,NA
U570RG1,RNA_pathogens,gill,U570,NA,NA
U571RG1,RNA_pathogens,gill,U571,NA,NA
U572RG1,RNA_pathogens,gill,U572,NA,NA
U573RG1,RNA_pathogens,gill,U573,NA,NA
U574RG1,RNA_pathogens,gill,U574,NA,NA
U575RG1,RNA_pathogens,gill,U575,NA,NA
U576RG1,RNA_pathogens,gill,U576,NA,NA
U577RG1,RNA_pathogens,gill,U577,NA,NA
U578RG1,RNA_pathogens,gill,U578,NA,NA
U579RG1,RNA_pathogens,gill,U579,NA,NA
U580RG1,RNA_pathogens,gill,U580,NA,NA
U581RG1,RNA_pathogens,gill,U581,NA,NA
U582RG1,RNA_pathogens,gill,U582,NA,NA
U583RG1,RNA_pathogens,gill,U583,NA,NA
U584RG1,RNA_pathogens,gill,U584,NA,NA
U585RG1,RNA_pathogens,gill,U585,NA,NA
U586RG1,RNA_pathogens,gill,U586,NA,NA
U587RG1,RNA_pathogens,gill,U587,NA,NA
U588RG1,RNA_pathogens,gill,U588,NA,NA
U589RG1,RNA_pathogens,gill,U589,NA,NA
U590RG1,RNA_pathogens,gill,U590,NA,NA
U591RG1,RNA_pathogens,gill,U591,NA,NA
U592RG1,RNA_pathogens,gill,U592,NA,NA
U593RG1,RNA_pathogens,gill,U593,NA,NA
U594RG1,RNA_pathogens,gill,U594,NA,NA
U595RG1,RNA_pathogens,gill,U595,NA,NA
U596RG1,RNA_pathogens,gill,U596,NA,NA
U597RG1,RNA_pathogens,gill,U597,NA,NA
U598RG1,RNA_pathogens,gill,U598,NA,NA
U599RG1,RNA_pathogens,gill,U599,NA,NA
U601RG1,RNA_pathogens,gill,U601,NA,NA
U602RG1,RNA_pathogens,gill,U602,NA,NA
U603RG1,RNA_pathogens,gill,U603,NA,NA
U604RG1,RNA_pathogens,gill,U604,NA,NA
U605RG1,RNA_pathogens,gill,U605,NA,NA
U606RG1,RNA_pathogens,gill,U606,NA,NA
U607RG1,RNA_pathogens,gill,U607,NA,NA
U608RG1,RNA_pathogens,gill,U608,NA,NA
U609RG1,RNA_pathogens,gill,U609,NA,NA
U610RG1,RNA_pathogens,gill,U610,NA,NA
U611RG1,RNA_pathogens,gill,U611,NA,NA
U612RG1,RNA_pathogens,gill,U612,NA,NA
U613RG1,RNA_pathogens,gill,U613,NA,NA
U614RG1,RNA_pathogens,gill,U614,NA,NA
U615RG1,RNA_pathogens,gill,U615,NA,NA
U616RG1,RNA_pathogens,gill,U616,NA,NA
U617RG1,RNA_pathogens,gill,U617,NA,NA
U618RG1,RNA_pathogens,gill,U618,NA,NA
U619RG1,RNA_pathogens,gill,U619,NA,NA
U620RG1,RNA_pathogens,gill,U620,NA,NA
U621RG1,RNA_pathogens,gill,U621,NA,NA
U622RG1,RNA_pathogens,gill,U622,NA,NA
U624RG1,RNA_pathogens,gill,U624,NA,NA
U625RG1,RNA_pathogens,gill,U625,NA,NA
U626RG1,RNA_pathogens,gill,U626,NA,NA
U627RG1,RNA_pathogens,gill,U627,NA,NA
U628RG1,RNA_pathogens,gill,U628,NA,NA
U629RG1,RNA_pathogens,gill,U629,NA,NA
U630RG1,RNA_pathogens,gill,U630,NA,NA
U631RG1,RNA_pathogens,gill,U631,NA,NA
U632RG1,RNA_pathogens,gill,U632,NA,NA
U633RG1,RNA_pathogens,gill,U633,NA,NA
U634RG1,RNA_pathogens,gill,U634,NA,NA
U635RG1,RNA_pathogens,gill,U635,NA,NA
U636RG1,RNA_pathogens,gill,U636,NA,NA
U637RG1,RNA_pathogens,gill,U637,NA,NA
U638RG1,RNA_pathogens,gill,U638,NA,NA
U639RG1,RNA_pathogens,gill,U639,NA,NA
U640RG1,RNA_pathogens,gill,U640,NA,NA
U642RG1,RNA_pathogens,gill,U642,NA,NA
U643RG1,RNA_pathogens,gill,U643,NA,NA
U644RG1,RNA_pathogens,gill,U644,NA,NA
U645RG1,RNA_pathogens,gill,U645,NA,NA
U646RG1,RNA_pathogens,gill,U646,NA,NA
U647RG1,RNA_pathogens,gill,U647,NA,NA
U648RG1,RNA_pathogens,gill,U648,NA,NA
U649RG1,RNA_pathogens,gill,U649,NA,NA
U650RG1,RNA_pathogens,gill,U650,NA,NA
U651RG1,RNA_pathogens,gill,U651,NA,NA
U652RG1,RNA_pathogens,gill,U652,NA,NA
U653RG1,RNA_pathogens,gill,U653,NA,NA
U654RG1,RNA_pathogens,gill,U654,NA,NA
U655RG1,RNA_pathogens,gill,U655,NA,NA
U656RG1,RNA_pathogens,gill,U656,NA,NA
U657RG1,RNA_pathogens,gill,U657,NA,NA
U658RG1,RNA_pathogens,gill,U658,NA,NA
U659RG1,RNA_pathogens,gill,U659,NA,NA
U660RG1,RNA_pathogens,gill,U660,NA,NA
U661RG1,RNA_pathogens,gill,U661,NA,NA
U662RG1,RNA_pathogens,gill,U662,NA,NA
U663RG1,RNA_pathogens,gill,U663,NA,NA
U664RG1,RNA_pathogens,gill,U664,NA,NA
U665RG1,RNA_pathogens,gill,U665,NA,NA
U666RG1,RNA_pathogens,gill,U666,NA,NA
U667RG1,RNA_pathogens,gill,U667,NA,NA
U668RG1,RNA_pathogens,gill,U668,NA,NA
U669RG1,RNA_pathogens,gill,U669,NA,NA
U670RG1,RNA_pathogens,gill,U670,NA,NA
U671RG1,RNA_pathogens,gill,U671,NA,NA
U672RG1,RNA_pathogens,gill,U672,NA,NA
U673RG1,RNA_pathogens,gill,U673,NA,NA
U674RG1,RNA_pathogens,gill,U674,NA,NA
U675RG1,RNA_pathogens,gill,U675,NA,NA
U676RG1,RNA_pathogens,gill,U676,NA,NA
U677RG1,RNA_pathogens,gill,U677,NA,NA
U678RG1,RNA_pathogens,gill,U678,NA,NA
U679RG1,RNA_pathogens,gill,U679,NA,NA
U680RG1,RNA_pathogens,gill,U680,NA,NA
U681RG1,RNA_pathogens,gill,U681,NA,NA
U682RG1,RNA_pathogens,gill,U682,NA,NA
U683RG1,RNA_pathogens,gill,U683,NA,NA
U684RG1,RNA_pathogens,gill,U684,NA,NA
U685RG1,RNA_pathogens,gill,U685,NA,NA
U686RG1,RNA_pathogens,gill,U686,NA,NA
U687RG1,RNA_pathogens,gill,U687,NA,NA
U688RG1,RNA_pathogens,gill,U688,NA,NA
U689RG1,RNA_pathogens,gill,U689,NA,NA
U690RG1,RNA_pathogens,gill,U690,NA,NA
U691RG1,RNA_pathogens,gill,U691,NA,NA
U692RG1,RNA_pathogens,gill,U692,NA,NA
U693RG1,RNA_pathogens,gill,U693,NA,NA
U694RG1,RNA_pathogens,gill,U694,NA,NA
U695RG1,RNA_pathogens,gill,U695,NA,NA
U696RG1,RNA_pathogens,gill,U696,NA,NA
U697RG1,RNA_pathogens,gill,U697,NA,NA
U698RG1,RNA_pathogens,gill,U698,NA,NA
U699RG1,RNA_pathogens,gill,U699,NA,NA
U700RG1,RNA_pathogens,gill,U700,NA,NA
U701RG1,RNA_pathogens,gill,U701,NA,NA
U702RG1,RNA_pathogens,gill,U702,NA,NA
U703RG1,RNA_pathogens,gill,U703,NA,NA
U704RG1,RNA_pathogens,gill,U704,NA,NA
U705RG1,RNA_pathogens,gill,U705,NA,NA
U706RG1,RNA_pathogens,gill,U706,NA,NA
U707RG1,RNA_pathogens,gill,U707,NA,NA
U708RG1,RNA_pathogens,gill,U708,NA,NA
U709RG1,RNA_pathogens,gill,U709,NA,NA
U710RG1,RNA_pathogens,gill,U710,NA,NA
U711RG1,RNA_pathogens,gill,U711,NA,NA
U712RG1,RNA_pathogens,gill,U712,NA,NA
U713RG1,RNA_pathogens,gill,U713,NA,NA
U714RG1,RNA_pathogens,gill,U714,NA,NA
U716RG1,RNA_pathogens,gill,U716,NA,NA
U717RG1,RNA_pathogens,gill,U717,NA,NA
U718RG1,RNA_pathogens,gill,U718,NA,NA
U719RG1,RNA_pathogens,gill,U719,NA,NA
U720RG1,RNA_pathogens,gill,U720,NA,NA
U721RG1,RNA_pathogens,gill,U721,NA,NA
