sample_id,sieve,fraction_proc,size_class,phylum,class,subclass,order,infraorder,family,genus,species,life_stage,sex,length,count,tot_count,abundance,lab_processor
JSPK1031,250,0.02,<1,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Acartiidae,Acartia,,,,<2,380,19000,736.4521036,Andrea Le
JSPK1031,250,0.02,<1,Arthropoda,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,,,nauplius,,<2,51,2550,98.83962444,Andrea Le
JSPK1031,250,0.02,<1,Mollusca,Bivalvia,,,,,,,veliger,,<2,1,50,1.938031852,Andrea Le
JSPK1031,250,0.02,<1,Bryozoa,,,,,,,,cyphonaut,,<2,20,1000,38.76063703,Andrea Le
JSPK1031,250,0.02,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Calanidae,Calanus,pacificus,<C5,,<2,1,50,1.938031852,Andrea Le
JSPK1031,250,0.02,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Centropagidae,Centropages,abdominalis,,F,<2,1,50,1.938031852,Andrea Le
JSPK1031,250,0.02,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Centropagidae,Centropages,abdominalis,<C5,,<2,1,50,1.938031852,Andrea Le
JSPK1031,250,0.02,<1,Arthropoda,Hexanauplia,Copepoda,,,,,,nauplius,,<2,9,450,17.44228667,Andrea Le
JSPK1031,250,0.02,<1,Arthropoda,Hexanauplia,Copepoda,Calanoida,,,,,C1,,<2,3,150,5.814095555,Andrea Le
JSPK1031,250,0.02,<1,Arthropoda,Hexanauplia,Copepoda,Cyclopoida,,Corycaeidae,Corycaeus,,,,<2,2,100,3.876063703,Andrea Le
JSPK1031,250,0.02,<1,,,,,,,Unknown,,egg,,<2,237,11850,459.3135489,Andrea Le
JSPK1031,250,0.02,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Pontellidae,Epilabidocera,longipedata,<C5,,<2,2,100,3.876063703,Andrea Le
JSPK1031,250,0.02,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Pontellidae,Epilabidocera,longipedata,,,<2,1,50,1.938031852,Andrea Le
JSPK1031,250,0.02,<1,Arthropoda,Malacostraca,Eumalacostraca,Euphausiacea,,Euphausiidae,,,calyptopis,,<2,6,300,11.62819111,Andrea Le
JSPK1031,250,0.02,<1,Arthropoda,Branchiopoda,Diplostraca,Onychopoda,,Podonidae,Evadne,,,,<2,66,3300,127.9101022,Andrea Le
JSPK1031,250,0.02,<1,Cnidaria,Hydrozoa,Hydroidolina,Leptothecata,,,,,,,<2,2,100,3.876063703,Andrea Le
JSPK1031,250,0.02,1 to 2,Chordata,Appendicularia,,Copelata,,Oikopleuridae,Oikopleura,,,,<2,27,1350,52.32686,Andrea Le
JSPK1031,250,0.02,<1,Arthropoda,Hexanauplia,Copepoda,Cyclopoida,,Oithonidae,Oithona,,,,<2,2,100,3.876063703,Andrea Le
JSPK1031,250,0.02,<1,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Paracalanidae,Paracalanus,,,,<2,9,450,17.44228667,Andrea Le
JSPK1031,250,0.02,<1,Arthropoda,Branchiopoda,Diplostraca,Onychopoda,,Podonidae,Podon,,,,<2,15,750,29.07047778,Andrea Le
JSPK1031,250,0.02,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Clausocalanidae,Pseudocalanus,,,,<2,12,600,23.25638222,Andrea Le
JSPK1031,250,0.02,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Tortanidae,Tortanus,,,M,<2,4,200,7.752127407,Andrea Le
JSPK1054,1000,1,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Acartiidae,Acartia,,,,<2,1,1,0.04,Andrea Le
JSPK1054,250,0.01,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Acartiidae,Acartia,,,,<2,246,24600,927.47,Andrea Le
JSPK1054,250,0.01,<1,Arthropoda,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,,,nauplius,,<2,43,4300,162.12,Andrea Le
JSPK1054,250,0.01,<1,Mollusca,Bivalvia,,,,,,,veliger,,<2,1,100,3.77,Andrea Le
JSPK1054,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Calanidae,Calanus,marshallae,,,3.6,101,101,3.81,Andrea Le
JSPK1054,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Calanidae,Calanus,pacificus,,,2.8,12,12,0.45,Andrea Le
JSPK1054,250,0.01,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Centropagidae,Centropages,abdominalis,,F,<2,2,200,7.54,Andrea Le
JSPK1054,250,0.01,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Centropagidae,Centropages,abdominalis,,M,<2,2,200,7.54,Andrea Le
JSPK1054,250,0.01,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Centropagidae,Centropages,abdominalis,,,<2,2,200,7.54,Andrea Le
JSPK1054,250,0.01,<1,Arthropoda,Hexanauplia,Copepoda,,,,,,nauplius,,<2,13,1300,49.01,Andrea Le
JSPK1054,250,0.01,<1,Arthropoda,Hexanauplia,Copepoda,Calanoida,,,,,C1,,<2,6,600,22.62,Andrea Le
JSPK1054,250,0.01,<1,Arthropoda,Hexanauplia,Copepoda,Cyclopoida,,Corycaeidae,Corycaeus,,,,<2,24,2400,90.48,Andrea Le
JSPK1054,250,0.01,<1,Arthropoda,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,,,cyprid,,<2,3,300,11.31,Andrea Le
JSPK1054,1000,1,1 to 2,Chordata,Actinopterygii,,,,,,,egg,,<2,2,2,0.08,Andrea Le
JSPK1054,250,0.01,<1,,,,,,,Unknown,,egg,,<2,165,16500,622.08,Andrea Le
JSPK1054,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Pontellidae,Epilabidocera,longipedata,,M,3.5,2,2,0.08,Andrea Le
JSPK1054,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Pontellidae,Epilabidocera,longipedata,,F,4.1,4,4,0.15,Andrea Le
JSPK1054,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Pontellidae,Epilabidocera,longipedata,C5,,3.2,1,1,0.04,Andrea Le
JSPK1054,250,0.01,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Pontellidae,Epilabidocera,longipedata,,,<2,1,100,3.77,Andrea Le
JSPK1054,250,0.01,1 to 2,Arthropoda,Malacostraca,Eumalacostraca,Euphausiacea,,Euphausiidae,,,calyptopis,,<2,5,500,18.85,Andrea Le
JSPK1054,250,0.01,<1,Arthropoda,Branchiopoda,Diplostraca,Onychopoda,,Podonidae,Evadne,,,,<2,21,2100,79.17,Andrea Le
JSPK1054,2000,1,>10,Arthropoda,Malacostraca,Eumalacostraca,Amphipoda,,Gammaridae,,,,,18,1,1,0.04,Andrea Le
JSPK1054,250,0.01,1 to 2,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,Brachyura,Grapsidae,,,larvae,,<2,1,100,3.77,Andrea Le
JSPK1054,1000,1,5 to 10,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,,Pandeidae,Halitholus,,,,5,1,1,0.04,Andrea Le
JSPK1054,250,0.01,<1,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Paracalanidae,Paracalanus,,,,<2,14,1400,52.78,Andrea Le
JSPK1054,250,0.01,<1,Arthropoda,Branchiopoda,Diplostraca,Onychopoda,,Podonidae,Podon,,,,<2,2,200,7.54,Andrea Le
JSPK1054,1000,1,2 to 5,Cnidaria,,,,,,,,polyp,,4,1,1,0.04,Andrea Le
JSPK1054,1000,1,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Clausocalanidae,Pseudocalanus,,,,<2,1,1,0.04,Andrea Le
JSPK1054,250,0.01,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Clausocalanidae,Pseudocalanus,,,,<2,97,9700,365.71,Andrea Le
JSPK1054,1000,1,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Tortanidae,Tortanus,,,M,2,8,8,0.3,Andrea Le
JSPK1054,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Tortanidae,Tortanus,,,F,2.3,13,13,0.49,Andrea Le
JSPK1054,250,0.01,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Tortanidae,Tortanus,,,M,<2,4,400,15.08,Andrea Le
JSPK1054,250,0.01,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Tortanidae,Tortanus,,<C5,,<2,3,300,11.31,Andrea Le
JSPK1093,2000,1,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Acartiidae,Acartia,,,,<2,8,8,0.49,Jihyun Kim
JSPK1093,2000,1,<1,Arthropoda,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,,,nauplius,,<2,3,3,0.18,Jihyun Kim
JSPK1093,2000,1,1 to 2,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,Brachyura,Cancridae,,,megalopa,,<2,1,1,0.06,Jihyun Kim
JSPK1093,2000,1,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Centropagidae,Centropages,abdominalis,,,<2,1,1,0.06,Jihyun Kim
JSPK1093,2000,1,<1,Arthropoda,Hexanauplia,Copepoda,,,,,,nauplius,,<2,3,3,0.18,Jihyun Kim
JSPK1093,2000,1,<1,Arthropoda,Hexanauplia,Copepoda,Calanoida,,,,,C2,,<2,1,1,0.06,Jihyun Kim
JSPK1093,2000,1,<1,Arthropoda,Hexanauplia,Copepoda,Cyclopoida,,Corycaeidae,Corycaeus,,,,<2,1,1,0.06,Jihyun Kim
JSPK1093,2000,1,<1,Arthropoda,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,,,cyprid,,<2,2,2,0.12,Jihyun Kim
JSPK1093,2000,1,<1,Arthropoda,Malacostraca,Eumalacostraca,Euphausiacea,,Euphausiidae,,,egg,,<2,215,215,13.1,Jihyun Kim
JSPK1093,2000,1,<1,Arthropoda,Malacostraca,Eumalacostraca,Euphausiacea,,Euphausiidae,,,nauplius,,<2,1,1,0.06,Jihyun Kim
JSPK1093,2000,1,<1,Mollusca,Gastropoda,,,,,,,veliger,,<2,1,1,0.06,Jihyun Kim
JSPK1093,2000,1,2 to 5,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,,Pandeidae,Halitholus,,,,3.3,2,2,0.12,Jihyun Kim
JSPK1093,2000,1,2 to 5,Cnidaria,Hydrozoa,Hydroidolina,Leptothecata,,,,,,,2.9,1,1,0.06,Jihyun Kim
JSPK1093,2000,1,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Clausocalanidae,Pseudocalanus,,,,<2,7,7,0.43,Jihyun Kim
JSPK1093,2000,1,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Tortanidae,Tortanus,,,,<2,2,2,0.12,Jihyun Kim
JSPK1093,2000,1,<1,,,,,,,Unknown,,trochophore,,<2,2,2,0.12,Jihyun Kim
JSPK1093,1000,1,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Acartiidae,Acartia,,,,<2,8,8,0.49,Jihyun Kim
JSPK1093,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Calanidae,Calanus,marshallae,,,3.8,4,4,0.24,Jihyun Kim
JSPK1093,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Calanidae,Calanus,pacificus,,,2.6,9,9,0.55,Jihyun Kim
JSPK1093,1000,1,2 to 5,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,Axiidea,Callianassidae,,,zoea,,3.5,2,2,0.12,Jihyun Kim
JSPK1093,1000,1,2 to 5,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,Brachyura,Cancridae,,,larvae,,2.75,1,1,0.06,Jihyun Kim
JSPK1093,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Centropagidae,Centropages,abdominalis,,,2,2,2,0.12,Jihyun Kim
JSPK1093,1000,1,2 to 5,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,,,,,larvae,,4.5,1,1,0.06,Jihyun Kim
JSPK1093,1000,1,2 to 5,Arthropoda,Insecta,,Diptera,,,,,,,<2,1,1,0.06,Jihyun Kim
JSPK1093,1000,1,<1,Arthropoda,Malacostraca,Eumalacostraca,Euphausiacea,,Euphausiidae,,,egg,,<2,26,26,1.58,Jihyun Kim
JSPK1093,1000,1,<1,Chordata,Actinopterygii,,,,,,,egg,,<2,1,1,0.06,Jihyun Kim
JSPK1093,1000,1,2 to 5,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,Caridea,Hippolytidae,,,zoea,,3.25,2,2,0.12,Jihyun Kim
JSPK1093,1000,1,2 to 5,Arthropoda,Malacostraca,Eumalacostraca,Amphipoda,,Hyperiidae,Themisto,,,,2.7,7,7,0.43,Jihyun Kim
JSPK1093,1000,1,2 to 5,Chordata,Appendicularia,,Copelata,,Oikopleuridae,Oikopleura,,,,4.75,12,12,0.73,Jihyun Kim
JSPK1093,1000,1,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Clausocalanidae,Pseudocalanus,,,,<2,6,6,0.37,Jihyun Kim
JSPK1093,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Tortanidae,Tortanus,,,,2.1,55,55,3.35,Jihyun Kim
JSPK1093,1000,1,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Tortanidae,Tortanus,,copepodite,,<2,1,1,0.06,Jihyun Kim
JSPK1093,250,0.01,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Acartiidae,Acartia,,,,<2,57,5700,347.3,Jihyun Kim
JSPK1093,250,0.01,<1,Arthropoda,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,,,nauplius,,<2,20,2000,121.86,Jihyun Kim
JSPK1093,250,0.01,<1,Bryozoa,,,,,,,,cyphonaut,,<2,4,400,24.37,Jihyun Kim
JSPK1093,250,0.01,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Centropagidae,Centropages,abdominalis,,F,<2,1,100,6.09,Jihyun Kim
JSPK1093,250,0.01,2 to 5,Chaetognatha,Sagittoidea,,,,,,,,,2.5,2,200,12.19,Jihyun Kim
JSPK1093,250,0.01,<1,Arthropoda,Hexanauplia,Copepoda,,,,,,nauplius,,<2,10,1000,60.93,Jihyun Kim
JSPK1093,250,0.01,<1,Arthropoda,Hexanauplia,Copepoda,Cyclopoida,,Corycaeidae,Corycaeus,,,,<2,2,200,12.19,Jihyun Kim
JSPK1093,250,0.01,<1,,,,,,,Unknown,,egg,,<2,1,100,6.09,Jihyun Kim
JSPK1093,250,0.01,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Pontellidae,Epilabidocera,longipedata,,,<2,1,100,6.09,Jihyun Kim
JSPK1093,250,0.01,<1,Arthropoda,Malacostraca,Eumalacostraca,Euphausiacea,,Euphausiidae,,,egg,,<2,507,50700,3089.18,Jihyun Kim
JSPK1093,250,0.01,<1,Arthropoda,Malacostraca,Eumalacostraca,Euphausiacea,,Euphausiidae,,,nauplius,,<2,3,300,18.28,Jihyun Kim
JSPK1093,250,0.01,<1,Arthropoda,Branchiopoda,Diplostraca,Onychopoda,,Podonidae,Evadne,,,,<2,7,700,42.65,Jihyun Kim
JSPK1093,250,0.01,<1,Mollusca,Gastropoda,,,,,,,veliger,,<2,1,100,6.09,Jihyun Kim
JSPK1093,250,0.01,1 to 2,Chordata,Appendicularia,,Copelata,,Oikopleuridae,Oikopleura,,,,<2,3,300,18.28,Jihyun Kim
JSPK1093,250,0.01,<1,Arthropoda,Hexanauplia,Copepoda,Cyclopoida,,Oithonidae,Oithona,,,,<2,2,200,12.19,Jihyun Kim
JSPK1093,250,0.01,<1,Arthropoda,Branchiopoda,Diplostraca,Onychopoda,,Podonidae,Podon,,,,<2,1,100,6.09,Jihyun Kim
JSPK1093,250,0.01,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Clausocalanidae,Pseudocalanus,,,,<2,28,2800,170.61,Jihyun Kim
JSPK1093,250,0.01,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Tortanidae,Tortanus,,,,2,1,100,6.09,Jihyun Kim
JSPK1093,250,0.01,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Tortanidae,Tortanus,,copepodite,,<2,2,200,12.19,Jihyun Kim
JSPK1112,250,0.05,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Acartiidae,Acartia,,,,<2,18,360,16.59,Andrea Le
JSPK1112,2000,1,>10,Cnidaria,Hydrozoa,,Leptothecata,,Aequoreidae,Aequorea,victoria,,,31,2,2,0.09,Andrea Le
JSPK1112,250,0.05,<1,Arthropoda,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,,,nauplius,,<2,15,300,13.82,Andrea Le
JSPK1112,250,0.05,<1,Mollusca,Bivalvia,,,,,,,veliger,,<2,2,40,1.84,Andrea Le
JSPK1112,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Calanidae,Calanus,marshallae,,,3.6,3,3,0.14,Andrea Le
JSPK1112,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Calanidae,Calanus,pacificus,,,2.9,7,7,0.32,Andrea Le
JSPK1112,250,0.05,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Calanidae,Calanus,pacificus,,,2.7,1,20,0.92,Andrea Le
JSPK1112,250,0.05,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Centropagidae,Centropages,abdominalis,,M,<2,2,40,1.84,Andrea Le
JSPK1112,250,0.05,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Centropagidae,Centropages,abdominalis,,F,<2,6,120,5.53,Andrea Le
JSPK1112,250,0.05,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Centropagidae,Centropages,abdominalis,,,<2,5,100,4.61,Andrea Le
JSPK1112,250,0.05,<1,Arthropoda,Hexanauplia,Copepoda,,,,,,nauplius,,<2,7,140,6.45,Andrea Le
JSPK1112,250,0.05,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,,,,C2,,<2,9,180,8.29,Andrea Le
JSPK1112,250,0.05,<1,Arthropoda,Hexanauplia,Copepoda,Calanoida,,,,,C1,,<2,2,40,1.84,Andrea Le
JSPK1112,250,0.05,<1,Arthropoda,Hexanauplia,Copepoda,Cyclopoida,,Corycaeidae,Corycaeus,,,,<2,68,1360,62.66,Andrea Le
JSPK1112,250,0.05,<1,Arthropoda,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,,,cyprid,,<2,5,100,4.61,Andrea Le
JSPK1112,1000,1,1 to 2,Chordata,Actinopterygii,,,,,,,egg,,<2,2,2,0.09,Andrea Le
JSPK1112,250,0.05,<1,,,,,,,Unknown,,egg,,<2,6,120,5.53,Andrea Le
JSPK1112,250,0.05,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Pontellidae,Epilabidocera,longipedata,<C5,,<2,2,40,1.84,Andrea Le
JSPK1112,250,0.05,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Pontellidae,Epilabidocera,longipedata,C5,,<2,1,20,0.92,Andrea Le
JSPK1112,1000,1,5 to 10,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Eucalanidae,Eucalanus,,,,6,1,1,0.05,Andrea Le
JSPK1112,250,0.05,1 to 2,Arthropoda,Malacostraca,Eumalacostraca,Euphausiacea,,Euphausiidae,,,calyptopis,,<2,16,320,14.74,Andrea Le
JSPK1112,250,0.05,<1,Arthropoda,Branchiopoda,Diplostraca,Onychopoda,,Podonidae,Evadne,,,,<2,120,2400,110.57,Andrea Le
JSPK1112,250,0.05,<1,Mollusca,Gastropoda,,,,,,,egg,,<2,47,940,43.31,Andrea Le
JSPK1112,250,0.05,<1,Mollusca,Gastropoda,,,,,,,veliger,,<2,1,20,0.92,Andrea Le
JSPK1112,1000,1,2 to 5,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,,Pandeidae,Halitholus,,,,3.3,3,3,0.14,Andrea Le
JSPK1112,250,0.05,1 to 2,Arthropoda,Hexanauplia,Copepoda,Harpacticoida,,,,,,,<2,2,40,1.84,Andrea Le
JSPK1112,250,0.05,1 to 2,Cnidaria,Hydrozoa,,,,,,,,,<2,2,40,1.84,Andrea Le
JSPK1112,1000,1,5 to 10,Arthropoda,Malacostraca,Eumalacostraca,Amphipoda,,Hyperiidae,Themisto,,,,8.4,2,2,0.09,Andrea Le
JSPK1112,2000,1,5 to 10,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,,Pandeidae,Leukartiara,,,,8,4,4,0.18,Andrea Le
JSPK1112,250,0.05,2 to 5,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,Brachyura,Majidae,,,larvae,,2.5,1,20,0.92,Andrea Le
JSPK1112,250,0.05,1 to 2,Arthropoda,Hexanauplia,Copepoda,Harpacticoida,,Ectinosomatidae,Microsetella,,,,<2,3,60,2.76,Andrea Le
JSPK1112,250,0.05,2 to 5,Chordata,Appendicularia,,Copelata,,Oikopleuridae,Oikopleura,,,,<2,2,40,1.84,Andrea Le
JSPK1112,250,0.05,<1,Arthropoda,Hexanauplia,Copepoda,Cyclopoida,,Oithonidae,Oithona,,,,<2,2,40,1.84,Andrea Le
JSPK1112,1000,1,2 to 5,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,Caridea,Pandalidae,,,larvae,,3.7,1,1,0.05,Andrea Le
JSPK1112,250,0.05,2 to 5,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,Caridea,Pandalidae,,,larvae,,2.7,2,40,1.84,Andrea Le
JSPK1112,250,0.05,<1,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Paracalanidae,Paracalanus,,,,<2,15,300,13.82,Andrea Le
JSPK1112,1000,1,2 to 5,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,Brachyura,Pinnotheridae,,,larvae,,3.3,1,1,0.05,Andrea Le
JSPK1112,250,0.05,<1,Arthropoda,Branchiopoda,Diplostraca,Onychopoda,,Podonidae,Podon,,,,<2,1,20,0.92,Andrea Le
JSPK1112,1000,1,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Clausocalanidae,Pseudocalanus,,,,<2,1,1,0.05,Andrea Le
JSPK1112,250,0.05,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Clausocalanidae,Pseudocalanus,,,,<2,77,1540,70.95,Andrea Le
JSPK1112,250,0.05,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Tortanidae,Tortanus,,,M,<2,3,60,2.76,Andrea Le
JSPK1118,2000,1,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Calanidae,Calanus,marshallae,,,<2,1,1,0.050791155,Jihyun Kim
JSPK1118,2000,1,2 to 5,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,Brachyura,Cancridae,,,megalopa,,5.1,2,2,0.101582311,Jihyun Kim
JSPK1118,2000,1,2 to 5,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,Brachyura,Cancridae,,,zoea,,<2,9,9,0.457120398,Jihyun Kim
JSPK1118,2000,1,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Centropagidae,Centropages,abdominalis,,,<2,1,1,0.050791155,Jihyun Kim
JSPK1118,2000,1,>10,Chaetognatha,Sagittoidea,,,,,,,,,19.8,5,5,0.253955777,Jihyun Kim
JSPK1118,2000,1,2 to 5,Cnidaria,Hydrozoa,,Leptothecata,,Campanulariidae,Clytia,,,,<2,1,1,0.050791155,Jihyun Kim
JSPK1118,2000,1,1 to 2,Arthropoda,Hexanauplia,Copepoda,Cyclopoida,,Corycaeidae,Corycaeus,,,,<2,61,61,3.098260476,Jihyun Kim
JSPK1118,2000,1,2 to 5,Ochrophyta,Bacillariophyceae,,Fragilariales,,Fragilariaceae,Ctenophora,,,,4.95,2,2,0.101582311,Jihyun Kim
JSPK1118,2000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Pontellidae,Epilabidocera,longipedata,,,3.566666667,3,3,0.152373466,Jihyun Kim
JSPK1118,2000,1,2 to 5,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,Brachyura,Pinnotheridae,,,zoea,,<2,3,3,0.152373466,Jihyun Kim
JSPK1118,2000,1,>10,Chordata,Actinopterygii,,Pleuronectiformes,,Pleuronectidae,,,larvae,,15.8,1,1,0.050791155,Jihyun Kim
JSPK1118,2000,1,1 to 2,Cnidaria,Hydrozoa,Hydroidolina,Siphonophorae,,,,,,,<2,1,1,0.050791155,Jihyun Kim
JSPK1118,2000,1,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Tortanidae,Tortanus,,,,<2,6,6,0.304746932,Jihyun Kim
JSPK1118,1000,0.5,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Calanidae,Calanus,marshallae,,,<2,128,256,13.00253577,Jihyun Kim
JSPK1118,1000,0.5,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Calanidae,Calanus,pacificus,,,<2,96,192,9.751901825,Jihyun Kim
JSPK1118,1000,0.5,2 to 5,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,Brachyura,Cancridae,,,megalopa,,4.1,1,2,0.101582311,Jihyun Kim
