ufn,sample_id,date_liced,lab_count_fine_no_id,lab_count_fine_total,lep_cop,lep_cunifer_cop,lep_chal_a,lep_chal_b,lep_pa_m_1,lep_pa_m_2,lep_pa_f_1,lep_pa_f_2,lep_pa_unid,lep_a_m,lep_a_f,lep_grav_f,cal_cop,cal_chal_a_1,cal_chal_a_2,cal_chal_b_3,cal_chal_b_4_f,cal_chal_b_4_m,cal_chal_4_unid,cal_chal_a_unid,cal_chal_b_unid,cal_pa_m,cal_pa_f,cal_a_m,cal_a_f,cal_grav_f,cal_mot_unid,unid_louse,lab_staff,comments,quality_level,quality_log
U696,S696SL1,2016-11-17,7,9,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,LP,Cal C4 UNID missing tail,Raw,NA
U1137,S1137SL1,2016-11-17,15,16,0,0,1,0,0,0,0,0,0,0,0,0,1,5,2,4,1,0,0,0,0,2,0,0,0,0,0,0,LP,NA,Raw,NA
U1087,S1087SL1,2016-11-17,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U952,S952SL1,2016-11-17,11,9,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,LP,"In processing comments: ""sea louse vial dropped, may have lost some lice""",Raw,NA
U1044,S1044SL1,2016-11-17,14,13,1,0,2,0,0,0,0,0,0,0,0,0,2,1,2,3,0,0,0,0,0,1,0,0,0,1,0,0,LP,NA,Raw,NA
U1269,S1269SL1,2016-11-17,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1093,S1093SL1,2016-11-17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1179,S1179SL1,2016-11-17,11,14,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,0,0,0,1,0,1,0,1,0,0,LP,NA,Raw,NA
U1288,S1288SL1,2016-11-17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1274,S1274SL1,2016-11-17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1335,S1335SL1,2016-11-17,7,7,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U593,S593SL1,2016-11-17,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U558,S558SL1,2016-11-17,6,8,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1330,S1330SL1,2016-11-17,14,14,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,3,0,0,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U262,S262SL1,2016-11-17,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1222,S1222SL1,2016-12-04,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1067,S1067SL1,2016-12-04,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,0,0,0,1,0,0,0,1,0,LP,Cal mot smashed,Raw,NA
U995,S995SL1,2016-12-04,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U986,S986SL1,2016-12-04,5,7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U985,S985SL1,2016-12-04,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,LP,NA,Raw,NA
U1061,NA,2016-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,"Received enumeration & identification, but no physical sample taken (record added 2019-02-28 JG)"
U1062,S1062SL1,2016-12-04,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1199,S1199SL1,2016-12-04,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1198,S1198SL1,2016-12-04,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,1,0,0,0,0,0,1,0,0,0,0,LP,NA,Raw,NA
U1197,S1197SL1,2016-12-04,13,15,0,0,4,0,0,0,0,0,0,0,0,0,1,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U996,S996SL1,2016-12-04,17,17,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,1,1,0,0,0,1,3,0,0,1,0,0,LP,one Cal cop smashed- LONG tether,Raw,NA
U998,S998SL1,2016-12-04,10,11,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,0,0,0,0,0,0,0,0,0,1,0,0,LP,NA,Raw,NA
U875,S875SL1,2016-12-04,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,LP,NA,Raw,NA
U874,S874SL1,2016-12-04,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,LP,NA,Raw,NA
U1076,S1076SL1,2016-12-05,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,LP,NA,Raw,NA
U1079,S1079SL1,2016-12-05,18,18,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,1,0,0,0,1,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U1084,S1084SL1,2016-12-05,14,12,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,0,0,0,0,2,0,1,0,0,0,LP,NA,Raw,NA
U1086,S1086SL1,2016-12-05,10,11,2,0,1,0,0,0,0,0,0,0,0,0,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1078,S1078SL1,2016-12-05,14,15,2,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,1,0,0,0,0,2,0,0,0,0,0,LP,NA,Raw,NA
U1075,S1075SL1,2016-12-05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1004,S1004SL1,2016-12-05,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U1001,NA,2016-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,"Received enumeration & identification, but no physical sample taken (record added 2019-02-28 JG)"
U1133,S1133SL1,2016-12-18,12,11,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1125,S1125SL1,2016-12-18,10,10,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1131,S1131SL1,2016-12-18,20,18,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,1,1,0,0,0,0,0,1,0,0,0,0,LP,NA,Raw,NA
U1132,S1132SL1,2016-12-18,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U941,S941SL1,2016-12-18,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1102,S1102SL1,2016-12-18,11,12,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,2,2,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1126,S1126SL1,2016-12-18,14,14,2,0,1,0,0,0,0,0,0,0,0,0,2,4,2,0,0,1,0,0,0,0,0,1,1,0,0,0,LP,NA,Raw,NA
U1127,S1127SL1,2016-12-18,23,22,2,0,1,0,0,0,0,0,0,0,0,0,1,6,2,5,0,3,0,0,0,0,0,1,0,1,0,0,LP,NA,Raw,NA
U1024,S1024SL1,2016-12-18,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,1,0,0,0,0,LP,NA,Raw,NA
U1026,S1026SL1,2016-12-18,8,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1025,S1025SL1,2016-12-18,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,2,0,0,0,2,0,1,0,0,0,0,LP,NA,Raw,NA
U1023,S1023SL1,2016-12-18,11,11,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1092,S1092SL1,2016-12-18,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U1134,S1134SL1,2017-01-11,20,21,0,0,1,0,0,0,0,0,0,0,0,0,2,7,7,0,2,1,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U1208,S1208SL1,2017-01-13,9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1214,S1214SL1,2017-01-13,11,11,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,1,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U1215,S1215SL1,2017-01-13,14,13,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,2,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U1180,S1180SL1,2017-01-13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1206,S1206SL1,2017-01-13,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,1,0,0,0,LP,NA,Raw,NA
U1138,S1138SL1,2017-01-13,10,10,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1139,S1139SL1,2017-01-13,8,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1105,S1105SL1,2017-01-13,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,1,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U964,S964SL1,2017-01-13,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,1,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U1104,S1104SL1,2017-01-13,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1135,S1135SL1,2017-01-13,10,11,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1312,S1312SL1,2017-01-13,10,11,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,2,1,0,0,1,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1239,S1239SL1,2017-01-13,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1212,S1212SL1,2017-01-13,10,10,1,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1178,S1178SL1,2017-01-13,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,LP,NA,Raw,NA
U1233,S1233SL1,2017-01-13,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1311,S1311SL1,2017-01-13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1273,S1273SL1,2017-01-13,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1286,S1286SL1,2017-01-13,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1283,S1283SL1,2017-01-13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1275,S1275SL1,2017-01-13,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1284,S1284SL1,2017-01-13,6,8,1,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1364,S1364SL1,2017-01-13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U1366,S1366SL1,2017-01-13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1303,S1303SL1,2017-01-20,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U1307,S1307SL1,2017-01-20,14,13,1,0,1,0,0,0,0,0,0,0,0,0,1,4,2,1,1,0,0,0,0,0,0,1,0,1,0,0,LP,NA,Raw,NA
U1302,S1302SL1,2017-01-20,12,10,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,2,0,0,0,0,0,0,LP,NA,Raw,NA
U1270,S1270SL1,2017-01-20,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U480,S480SL1,2017-01-22,19,17,1,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,1,0,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U1308,S1308SL1,2017-01-22,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1295,S1295SL1,2017-01-22,9,9,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U1291,S1291SL1,2017-01-22,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1292,S1292SL1,2017-01-22,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U471,S471SL1,2017-01-22,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1339,NA,2017-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,"Received enumeration & identification, but no physical sample taken (record added 2019-02-28 JG)"
U473,S473SL1,2017-01-22,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1338,S1338SL1,2017-01-22,15,15,1,0,2,0,0,0,0,0,0,0,0,0,4,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U1337,S1337SL1,2017-01-22,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1350,S1350SL1,2017-01-24,17,19,0,0,1,0,0,0,0,0,0,0,0,0,4,5,2,3,4,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1349,S1349SL1,2017-01-24,22,23,0,0,4,0,0,0,0,0,0,0,0,0,4,3,4,3,1,1,0,0,0,1,1,1,0,0,0,0,LP,NA,Raw,NA
U1328,S1328SL1,2017-01-24,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1343,S1343SL1,2017-01-24,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1342,S1342SL1,2017-01-24,4,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U695,S695SL1,2017-01-27,23,23,1,0,2,0,0,0,0,0,0,0,0,0,5,5,2,4,0,2,0,0,0,0,1,0,1,0,0,0,LP,NA,Raw,NA
U694,S694SL1,2017-01-27,15,15,1,0,0,0,0,0,0,0,0,0,0,0,1,5,3,4,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U697,S697SL1,2017-01-27,9,9,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,LP,NA,Raw,NA
U693,S693SL1,2017-01-27,16,14,3,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,1,2,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U1357,S1357SL1,2017-01-27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1356,S1356SL1,2017-01-27,8,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1353,S1353SL1,2017-01-27,11,10,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,1,1,1,0,0,0,0,LP,NA,Raw,NA
U247,S247SL1,2017-01-27,6,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,LP,NA,Raw,NA
U246,S246SL1,2017-01-27,24,24,1,0,1,0,0,0,0,0,0,0,0,0,0,10,3,2,3,0,0,0,0,3,1,0,0,0,0,0,LP,NA,Raw,NA
U245,S245SL1,2017-01-27,8,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U248,S248SL1,2017-01-27,42,44,1,0,1,0,0,0,0,0,0,0,0,0,1,14,9,6,2,6,0,0,0,0,3,0,1,0,0,0,LP,NA,Raw,NA
U250,S250SL1,2017-01-27,19,20,3,0,1,0,0,0,0,0,0,0,0,0,4,9,0,0,0,2,0,1,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U129,S129SL1,2017-01-27,6,7,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,LP,NA,Raw,NA
U249,S249SL1,2017-01-27,14,14,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,3,0,0,0,1,1,1,1,2,0,0,LP,NA,Raw,NA
U274,S274SL1,2017-01-30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,LP,NA,Raw,NA
U350,S350SL1,2017-01-30,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U349,S349SL1,2017-01-30,17,17,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,3,1,1,1,1,1,1,0,0,0,0,0,LP,NA,Raw,NA
U380,S380SL1,2017-01-30,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U378,S378SL1,2017-01-30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,1,0,0,LP,NA,Raw,NA
U377,S377SL1,2017-01-30,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U376,S376SL1,2017-01-30,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U308,S308SL1,2017-01-30,8,8,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U307,S307SL1,2017-01-30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,LP,NA,Raw,NA
U310,S310SL1,2017-01-30,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U251,S251SL1,2017-01-30,6,6,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U240,S240SL1,2017-01-30,17,17,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,7,0,0,0,0,0,1,1,0,0,0,0,0,LP,NA,Raw,NA
U253,S253SL1,2017-01-30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U254,S254SL1,2017-01-30,7,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U261,S261SL1,2017-01-30,12,12,2,0,1,0,0,0,0,0,0,0,0,0,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U255,S255SL1,2017-01-30,22,23,2,0,2,0,0,0,0,0,0,0,0,0,5,7,1,2,2,2,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U260,S260SL1,2017-01-30,19,19,0,0,1,0,0,0,0,0,0,0,0,0,1,6,3,3,1,2,0,0,0,0,0,1,0,1,0,0,LP,NA,Raw,NA
U256,S256SL1,2017-01-30,10,9,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,LP,NA,Raw,NA
U286,S286SL1,2017-01-31,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U285,S285SL1,2017-01-31,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U281,S281SL1,2017-01-31,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U284,S284SL1,2017-01-31,3,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U362,S362SL1,2017-01-31,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U299,S299SL1,2017-01-31,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U333,S333SL1,2017-01-31,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U496,S496SL1,2017-01-31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U335,S335SL1,2017-01-31,8,9,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U334,S334SL1,2017-01-31,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,1,0,0,0,0,0,0,0,0,1,0,LP,NA,Raw,NA
