sample_id,date_processed,content_weight,digestive_state,dominant_taxa,per_amphipod,per_decapod,per_euphausiid,per_cop_lg,per_cop_sm,per_larvacean,per_other,per_digested,other_dom_taxa,parasites,comments,initials,quality_level,quality_flag,quality_log
S20831ST1,2019-08-30,0,0,empty,0,0,0,0,0,0,0,0,NA,Y,worm cysts on stomach,SJ,level1,AV,NA
S20563ST1,2019-08-30,0.0135,3,larvacean,0,0,0,10,0,90,0,0,NA,N,NA,SJ,level1,AV,NA
S21201ST1,2019-08-30,0.0284,3,larvacean,0,0,0,0,0,100,0,0,NA,N,NA,SJ,level1,AV,NA
S20202ST1,2019-10-30,0.0321,2,large copepod,5,0,0,55,0,0,0,40,NA,N,NA,KB,level1,AV,NA
S20325ST1,2019-10-30,0.2998,2,euphausiid,0,0,100,0,0,0,0,0,NA,N,Esophagus already cut with contents spilling out before starting,SF,level1,AV,NA
S20105ST1,2019-10-30,0.0487,2,euphausiid,0,40,50,5,0,0,5,0,NA,N,Other: cyprids and insect,KB,level1,AV,NA
S20206ST1,2019-10-30,0.1161,1,other,0,0,5,0,30,0,65,0,Polychaete,N,"Other: polychaetes, chaetognath, and gastropod",SF,level1,AV,NA
S20104ST1,2019-10-30,0.0332,2,euphausiid,0,5,95,0,0,0,0,0,NA,N,NA,KB,level1,AV,NA
S20864ST1,2019-10-30,0,0,empty,0,0,0,0,0,0,0,0,NA,N,NA,KB,level1,AV,NA
S20101ST1,2019-10-30,0.0384,2,larvacean,0,5,0,0,10,80,0,5,NA,Y,Parasitic worm,SF,level1,AV,NA
S20833ST1,2019-10-30,0,0,empty,0,0,0,0,0,0,0,0,NA,N,NA,KB,level1,AV,NA
S21522ST1,2019-10-31,0.0085,2,other,0,0,0,5,0,0,95,0,Insect,N,NA,KB,level1,AV,NA
S20863ST1,2019-10-31,0.0336,2,small copepod,0,0,15,25,30,15,0,15,NA,N,Stomach cut in back section with food spilling out,KB,level1,AV,NA
S20861ST1,2019-10-31,0.0252,3,digested,0,5,0,20,15,10,0,50,NA,N,NA,SF,level1,AV,NA
S21181ST1,2019-10-31,0.0259,2,larvacean,0,0,0,5,0,90,0,5,NA,N,NA,KB,level1,AV,NA
S20327ST1,2019-10-31,0.2228,2,euphausiid,0,0,100,0,0,0,0,0,NA,N,NA,SF,level1,AV,NA
S20921ST1,2019-10-31,0.0162,2,small copepod,0,0,0,0,45,45,0,10,NA,N,NA,KB,level1,AV,NA
S20862ST1,2019-10-31,0.0241,2,larvacean,0,5,0,5,20,65,0,0,NA,N,NA,KB,level1,SVC,Sum of taxa proportions does not equal 100
S20832ST1,2019-10-31,2e-4,3,euphausiid,0,0,100,0,0,0,0,0,NA,N,Entire sample comprised part of 1 euphausiid,SF,level1,AV,NA
S21521ST1,2019-10-31,0.0122,1,amphipod,100,0,0,0,0,0,0,0,NA,N,2 skeleton shrimp,SF,level1,AV,NA
S20326ST1,2019-10-31,0.1391,2,euphausiid,0,0,100,0,0,0,0,0,NA,N,NA,KB,level1,AV,NA
S20706ST1,2019-10-31,0.0189,2,euphausiid,0,0,60,25,10,5,0,0,NA,N,NA,SF,level1,AV,NA
S20561ST1,2019-10-31,0.0252,2,larvacean,0,0,5,0,0,90,0,5,NA,N,NA,SF,level1,AV,NA
S20204ST1,2019-11-01,0.0308,2,small copepod,0,0,0,0,50,5,0,45,NA,N,"If unknown long guy is ""other"", then it would be ~20% and would make unknown/digested 25%",KB,level1,AV,NA
S20201ST1,2019-11-01,0.0548,2,digested,0,0,0,35,20,5,0,40,NA,N,NA,KB,level1,AV,NA
S20106ST1,2019-11-01,0.0204,2,larvacean,0,0,45,0,0,55,0,0,NA,N,Stomach was already cut open with food coming out,SF,level1,AV,NA
S20207ST1,2019-11-01,0.0233,2,digested,10,0,0,0,10,30,0,50,NA,Y,Anisakis on outside of stomach,KB,level1,AV,NA
S20043ST1,2019-11-01,0.018,2,large copepod,0,5,30,35,30,0,0,0,NA,N,NA,SF,level1,AV,NA
S20323ST1,2019-11-01,0.1833,2,euphausiid,0,0,100,0,0,0,0,0,NA,N,NA,KB,level1,AV,NA
S20704ST1,2019-11-01,0.0402,2,euphausiid,0,0,70,5,25,0,0,0,NA,N,NA,SF,level1,AV,NA
